player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Brandin Cooks,BUF,WR,15,2025,573.0,-1.69,-0.11,-2.41,-0.16
Carter Runyon,LV,TE,10,2025,574.0,-1.7,-0.17,-2.32,-0.23
Isaiah Bond,CLE,WR,15,2025,575.0,-1.7,-0.11,-2.41,-0.16
KhaDarel Hodge,ATL,WR,11,2025,576.0,-1.72,-0.16,-2.46,-0.22
Brady Russell,SEA,RB,15,2025,577.0,-1.73,-0.12,-3.54,-0.24
Tommy Tremble,CAR,TE,16,2025,578.0,-1.74,-0.11,-2.38,-0.15
Julian Hill,MIA,TE,13,2025,579.0,-1.74,-0.13,-2.33,-0.18
Xavier Smith,LAR,WR,15,2025,580.0,-1.76,-0.12,-2.51,-0.17
Devin Culp,TB,TE,11,2025,581.0,-1.77,-0.16,-2.41,-0.22
Dylan Laube,LV,RB,16,2025,582.0,-1.77,-0.11,-3.66,-0.23
Anthony Gould,IND,WR,11,2025,583.0,-1.78,-0.16,-2.54,-0.23
Julius Chestnut,TEN,RB,16,2025,584.0,-1.79,-0.11,-3.69,-0.23
Scotty Miller,PIT,WR,12,2025,585.0,-1.8,-0.15,-2.57,-0.21
Gage Larvadain,CLE,WR,12,2025,586.0,-1.81,-0.15,-2.58,-0.21
Darius Cooper,PHI,WR,12,2025,587.0,-1.81,-0.15,-2.58,-0.22
Kyle Williams,NE,WR,16,2025,588.0,-1.83,-0.11,-2.66,-0.17
Luke Musgrave,GB,TE,16,2025,589.0,-1.83,-0.11,-2.44,-0.15
Jamal Agnew,FA,WR,11,2025,590.0,-1.83,-0.17,-2.63,-0.24
Reggie Gilliam,BUF,RB,16,2025,591.0,-1.83,-0.11,-3.75,-0.23
Mason Tipton,NO,WR,13,2025,592.0,-1.84,-0.14,-2.62,-0.2
Jack Westover,NE,RB,16,2025,593.0,-1.85,-0.12,-3.77,-0.24
Harrison Bryant,HOU,TE,11,2025,594.0,-1.85,-0.17,-2.52,-0.23
Jack Bech,LV,WR,15,2025,595.0,-1.85,-0.12,-2.63,-0.18
Josiah Deguara,ARI,TE,11,2025,596.0,-1.87,-0.17,-2.55,-0.23
Jackson Hawes,BUF,TE,16,2025,597.0,-1.87,-0.12,-2.5,-0.16
Ben Yurosek,MIN,TE,11,2025,598.0,-1.87,-0.17,-2.55,-0.23
David Sills V,ATL,WR,16,2025,599.0,-1.88,-0.12,-2.72,-0.17
Tyrell Shavers,BUF,WR,16,2025,600.0,-1.89,-0.12,-2.76,-0.17
Jeremy Ruckert,NYJ,TE,16,2025,601.0,-1.89,-0.12,-2.52,-0.16
Feleipe Franks,ATL,TE,11,2025,602.0,-1.89,-0.17,-2.59,-0.24
Mitchell Evans,CAR,TE,16,2025,603.0,-1.89,-0.12,-2.55,-0.16
Quintin Morris,JAC,TE,12,2025,604.0,-1.9,-0.16,-2.57,-0.21
Trent Sherfield Sr.,ARI,WR,12,2025,605.0,-1.91,-0.16,-2.73,-0.23
Adam Trautman,DEN,TE,16,2025,606.0,-1.91,-0.12,-2.57,-0.16
Tylan Wallace,BAL,WR,13,2025,607.0,-1.91,-0.15,-2.74,-0.21
Alex Bachman,LV,WR,12,2025,608.0,-1.93,-0.16,-2.77,-0.23
Jaylin Lane,WAS,WR,15,2025,609.0,-1.95,-0.13,-2.75,-0.18
Ian Thomas,LV,TE,14,2025,610.0,-1.95,-0.14,-2.64,-0.19
Ryan Miller,NYG,WR,13,2025,611.0,-1.96,-0.15,-2.81,-0.22
Dont'e Thornton Jr.,LV,WR,14,2025,612.0,-1.98,-0.14,-2.81,-0.2
Noah Gray,KC,TE,15,2025,613.0,-1.99,-0.13,-2.66,-0.18
Jahan Dotson,PHI,WR,16,2025,614.0,-1.99,-0.12,-2.84,-0.18
Dee Eskridge,MIA,WR,13,2025,615.0,-2.03,-0.16,-2.9,-0.22
Nick Westbrook-Ikhine,MIA,WR,14,2025,616.0,-2.04,-0.15,-2.89,-0.21
Adam Thielen,PIT,WR,15,2025,617.0,-2.05,-0.14,-2.9,-0.19
Tai Felton,MIN,WR,13,2025,618.0,-2.07,-0.16,-2.96,-0.23
Bo Melton,GB,WR,15,2025,619.0,-2.1,-0.14,-3.01,-0.2
John Bates,WAS,TE,14,2025,620.0,-2.11,-0.15,-2.84,-0.2
Brycen Tremayne,CAR,WR,15,2025,621.0,-2.11,-0.14,-3.0,-0.2
John FitzPatrick,GB,TE,15,2025,622.0,-2.12,-0.14,-2.87,-0.19
Charlie Kolar,BAL,TE,16,2025,623.0,-2.13,-0.13,-2.88,-0.18
Ben Sinnott,WAS,TE,15,2025,624.0,-2.14,-0.14,-2.88,-0.19
Jordan Whittington,LAR,WR,16,2025,625.0,-2.14,-0.13,-3.02,-0.19
Mitch Tinsley,CIN,WR,16,2025,626.0,-2.15,-0.13,-3.08,-0.19
Grant Calcaterra,PHI,TE,14,2025,627.0,-2.2,-0.16,-2.98,-0.21
Luke Farrell,SF,TE,16,2025,628.0,-2.22,-0.14,-3.01,-0.19
Ben Skowronek,PIT,WR,15,2025,629.0,-2.22,-0.15,-3.17,-0.21
David Martin-Robinson,TEN,TE,14,2025,630.0,-2.24,-0.16,-3.04,-0.22
Nikko Remigio,KC,WR,14,2025,631.0,-2.25,-0.16,-3.22,-0.23
Drew Sample,CIN,TE,16,2025,632.0,-2.26,-0.14,-3.06,-0.19
Konata Mumpfield,LAR,WR,16,2025,633.0,-2.27,-0.14,-3.23,-0.2
Connor Heyward,PIT,TE,15,2025,634.0,-2.27,-0.15,-3.09,-0.21
Jack Stoll,NO,TE,15,2025,635.0,-2.28,-0.15,-3.11,-0.21
Mo Alie-Cox,IND,TE,16,2025,636.0,-2.29,-0.14,-3.11,-0.19
Johnny Mundt,JAC,TE,15,2025,637.0,-2.29,-0.15,-3.1,-0.21
Gunner Olszewski,NYG,WR,15,2025,638.0,-2.3,-0.15,-3.3,-0.22
Arian Smith,NYJ,WR,15,2025,639.0,-2.3,-0.15,-3.27,-0.22
Kameron Johnson,TB,WR,16,2025,640.0,-2.3,-0.14,-3.36,-0.21
Charlie Jones,CIN,WR,14,2025,641.0,-2.3,-0.16,-3.3,-0.24
Luke Schoonmaker,DAL,TE,16,2025,642.0,-2.33,-0.15,-3.12,-0.2
Drew Ogletree,IND,TE,15,2025,643.0,-2.36,-0.16,-3.21,-0.21
Cameron Latu,PHI,TE,14,2025,644.0,-2.41,-0.17,-3.3,-0.24
Teagan Quitoriano,ATL,TE,14,2025,644.0,-2.41,-0.17,-3.3,-0.24
Brevyn Spann-Ford,DAL,TE,16,2025,646.0,-2.44,-0.15,-3.3,-0.21
Skyy Moore,SF,WR,16,2025,647.0,-2.44,-0.15,-3.47,-0.22
LaJohntay Wester,BAL,WR,15,2025,648.0,-2.48,-0.17,-3.57,-0.24
Charlie Woerner,ATL,TE,16,2025,649.0,-2.52,-0.16,-3.42,-0.21
Blake Whiteheart,CLE,TE,15,2025,650.0,-2.54,-0.17,-3.47,-0.23
Robert Tonyan,KC,TE,15,2025,651.0,-2.57,-0.17,-3.51,-0.23
Devin Duvernay,CHI,WR,16,2025,652.0,-2.57,-0.16,-3.68,-0.23
Durham Smythe,CHI,TE,16,2025,653.0,-2.65,-0.17,-3.6,-0.23
Kylen Granson,PHI,TE,16,2025,654.0,-2.69,-0.17,-3.66,-0.23
Myles Price,MIN,WR,16,2025,655.0,-2.69,-0.17,-3.88,-0.24
Payne Durham,TB,TE,16,2025,656.0,-2.73,-0.17,-3.72,-0.23
Chris Manhertz,NYG,TE,16,2025,657.0,-2.73,-0.17,-3.73,-0.23
