Rank,QB WAR,RB WAR,WR WAR,TE WAR
1.0,3.892928466457408,5.888513202678642,4.290925129067155,3.802487172752592
2.0,3.1913327950800894,4.775613078647666,3.609885476478105,3.142007739755884
3.0,2.884197127225197,4.408029015453887,3.2266339665005015,2.560522464396707
4.0,2.59312311561811,3.9496873353242115,2.9115963942175602,2.247759550223286
5.0,2.3360686178964554,3.742805795264909,2.7430661644764283,2.001706727744427
6.0,2.1273964395861027,3.4678794669181,2.514926256694625,1.8254178537794907
7.0,1.9203171242582588,3.224341059460788,2.3256657086609764,1.5354956734899514
8.0,1.814829597077844,2.955424980995191,2.159840791400554,1.368755736872888
9.0,1.788203722073635,2.832910550247764,2.0333899210949973,1.2674117961489
10.0,1.696039127819861,2.634963754478899,1.9171684260948445,1.1274484007327814
11.0,1.5240377343303806,2.462454366320883,1.8196192774608313,1.025182616211986
12.0,1.445963762651329,2.3673052166568183,1.750026532880105,0.8729388881373602
13.0,1.2724630195175977,2.2861091506413684,1.6703572108848839,0.7914885402046078
14.0,1.1574642526661232,2.169421134612969,1.5953325217389722,0.6802598973562686
15.0,1.0835982776698896,2.0572783362522324,1.5100406161963105,0.6075173898077851
16.0,1.0262572911010948,1.999717126398458,1.4653660196970448,0.5289032095589064
17.0,0.9259240138490631,1.9471623466215455,1.3786181597579925,0.46809635248091014
18.0,0.8292831322335374,1.8886777909663006,1.3165278296055278,0.3754858596922477
19.0,0.7326825286770762,1.819135683199132,1.2417246361084529,0.28516155489487705
20.0,0.6546303936374758,1.7468787957009493,1.1948317539434625,0.2042197438516617
21.0,0.5474077656316206,1.6731239502888104,1.1474405959867486,0.15011349679685432
22.0,0.4593086262302074,1.5909543004778528,1.0796837094890646,0.08253579263087404
23.0,0.40374186172299087,1.545851836443448,1.0214197337908988,0.02103699616048065
24.0,0.33991038395284806,1.4650261237181472,0.9560509222828978,-0.032246623070330674
25.0,0.2899816988841738,1.3736143848400544,0.902176848671932,-0.06964822196402645
26.0,0.21456867249155578,1.3219668220310463,0.868483745410081,-0.11525585888915449
27.0,0.16490942369484873,1.2765148337726087,0.8273407650030042,-0.144343470941382
28.0,0.09537891779170407,1.1799016661068293,0.7678573020428274,-0.17080667049902637
29.0,0.04613226016868214,1.1305614181057637,0.7116456592789394,-0.20376623548785128
30.0,0.0006304745849501526,1.0816060308705677,0.6617268837178292,-0.2290070235077851
31.0,-0.03233849169896578,1.0166328953849777,0.6159835444557594,-0.270902667503092
32.0,-0.06459863902142611,0.9607914152999228,0.5825010808694889,-0.336656489139353
33.0,-0.08733848729986031,0.9152199825482962,0.540883477644559,-0.37360128078619936
34.0,-0.11282358794119021,0.8597165806605418,0.46594660931709664,-0.40999203268963436
