Year,Scoring,Player,Team,ADP Rank,POS,ADP
2026,ppr,Juwan Johnson,NO,149,TE16,150.0
2026,ppr,Cam Little,JAC,150,K5,150.4
2026,ppr,Pittsburgh Steelers,DST,151,DST6,152.4
2026,ppr,Tyrone Tracy Jr.,NYG,192,RB57,152.8
2026,ppr,Jonah Coleman,DEN,152,RB49,158.0
2026,ppr,New England Patriots,DST,153,DST7,158.8
2026,ppr,Tyler Shough,NO,154,QB20,159.0
2026,ppr,Baltimore Ravens,DST,155,DST8,161.4
2026,ppr,Hunter Henry,NE,156,TE17,161.8
2026,ppr,Brenton Strange,JAC,157,TE18,164.2
2026,ppr,Alvin Kamara,NO,158,RB50,164.8
2026,ppr,Isiah Pacheco,DET,159,RB51,165.6
2026,ppr,Travis Hunter,JAC,219,WR72,166.3
2026,ppr,Oronde Gadsden,LAC,220,TE27,166.7
2026,ppr,Jake Bates,DET,160,K6,167.2
2026,ppr,Keaton Mitchell,LAC,161,RB52,167.4
2026,ppr,Minnesota Vikings,DST,162,DST9,168.6
2026,ppr,Keenan Allen,IND,163,WR58,169.0
2026,ppr,Harrison Mevis,LAR,164,K7,171.6
2026,ppr,Brian Robinson Jr.,ATL,165,RB53,172.0
2026,ppr,Jacksonville Jaguars,DST,166,DST10,173.0
2026,ppr,T.J. Hockenson,MIN,167,TE19,173.4
2026,ppr,Malik Willis,MIA,168,QB21,173.6
2026,ppr,Tank Bigsby,PHI,169,RB54,174.0
2026,ppr,Dontayvion Wicks,PHI,257,WR83,174.0
2026,ppr,Kaelon Black,SF,196,RB58,174.3
2026,ppr,Dylan Sampson,CLE,170,RB55,175.2
2026,ppr,Kayshon Boutte,HOU,197,WR64,176.3
2026,ppr,Los Angeles Chargers,DST,171,DST11,176.6
2026,ppr,Denzel Boston,CLE,172,WR59,177.6
2026,ppr,Tre Tucker,LV,173,WR60,177.6
2026,ppr,Kenyon Sadiq,NYJ,174,TE20,178.6
2026,ppr,Dalton Schultz,HOU,175,TE21,179.6
2026,ppr,Ja'Kobi Lane,BAL,176,WR61,180.2
2026,ppr,Terrance Ferguson,LAR,199,TE22,183.0
2026,ppr,Harrison Butker,KC,177,K8,183.2
2026,ppr,Braelon Allen,NYJ,200,RB59,183.5
2026,ppr,Chig Okonkwo,WAS,201,TE23,185.0
2026,ppr,Jalen Nailor,LV,202,WR65,185.5
2026,ppr,Malik Washington,MIA,223,WR73,186.0
2026,ppr,Daniel Jones,IND,178,QB22,186.4
2026,ppr,Jerry Jeudy,CLE,179,WR62,186.6
2026,ppr,Eddy Pineiro,SF,180,K9,187.0
2026,ppr,C.J. Stroud,HOU,181,QB23,188.0
2026,ppr,Tyler Loop,BAL,182,K10,188.6
2026,ppr,Detroit Lions,DST,183,DST12,189.2
2026,ppr,Cyrus Allen,KC,203,WR66,189.3
2026,ppr,Tank Dell,HOU,204,WR67,190.0
2026,ppr,Jauan Jennings,MIN,205,WR68,190.3
2026,ppr,Sam Darnold,SEA,184,QB24,191.4
2026,ppr,Justice Hill,BAL,224,RB61,193.7
2026,ppr,Jalen McMillan,TB,206,WR69,194.5
2026,ppr,Omar Cooper Jr.,NYJ,225,WR74,200.0
2026,ppr,Emmett Johnson,KC,185,RB56,200.6
2026,ppr,Evan McPherson,CIN,186,K11,201.6
2026,ppr,Dallas Cowboys,DST,187,DST13,204.6
2026,ppr,Chris Boswell,PIT,208,K15,204.8
2026,ppr,AJ Barner,SEA,209,TE24,205.3
2026,ppr,Will Reichard,MIN,188,K12,205.4
2026,ppr,Cooper Kupp,SEA,210,WR70,205.8
2026,ppr,Fernando Mendoza,LV,227,QB27,208.7
2026,ppr,George Holani,SEA,260,RB70,209.0
2026,ppr,Malachi Fields,NYG,228,WR75,209.7
2026,ppr,Trey Smack,GB,211,K16,210.0
2026,ppr,Bryce Young,CAR,212,QB25,210.0
2026,ppr,Buffalo Bills,DST,189,DST14,210.4
2026,ppr,Green Bay Packers,DST,190,DST15,210.4
2026,ppr,Caleb Douglas,MIA,213,WR71,210.5
2026,ppr,Ray Davis,BUF,229,RB62,210.7
2026,ppr,Jordan James,SF,230,RB63,212.3
2026,ppr,Kansas City Chiefs,DST,191,DST16,214.2
2026,ppr,Cam Ward,TEN,231,QB28,215.0
2026,ppr,Justin Tucker,,353,K34,215.0
2026,ppr,Ryan Flournoy,DAL,232,WR76,216.3
2026,ppr,San Francisco 49ers,DST,233,DST20,218.0
2026,ppr,Calvin Ridley,TEN,193,WR63,218.2
2026,ppr,Andy Borregales,NE,214,K17,218.3
2026,ppr,David Njoku,LAC,215,TE25,218.5
2026,ppr,Atlanta Falcons,DST,234,DST21,219.3
2026,ppr,Zachariah Branch,ATL,267,WR87,220.0
2026,ppr,Malik Davis,DAL,268,RB73,221.0
2026,ppr,Adonai Mitchell,NYJ,235,WR77,221.3
2026,ppr,Greg Dulcich,MIA,216,TE26,221.8
2026,ppr,Aaron Rodgers,PIT,236,QB29,223.0
2026,ppr,Younghoe Koo,,356,K35,223.0
2026,ppr,Cairo Santos,CHI,194,K13,223.6
2026,ppr,Chicago Bears,DST,195,DST17,223.6
2026,ppr,Najee Harris,NYG,237,RB64,227.0
2026,ppr,Tre' Harris,LAC,238,WR78,227.0
2026,ppr,Jaydon Blue,PHI,271,RB74,227.5
2026,ppr,Nicholas Singleton,TEN,239,RB65,228.3
2026,ppr,Dominic Zvada,NYG,358,K36,230.0
2026,ppr,Isaac TeSlaa,DET,240,WR79,230.7
2026,ppr,Antonio Williams,WAS,272,WR89,232.5
2026,ppr,Chase McLaughlin,TB,217,K18,233.0
2026,ppr,Cade Otton,TB,241,TE28,233.0
2026,ppr,Kimani Vidal,LAC,242,RB66,234.0
2026,ppr,James Conner,ARI,273,RB75,234.5
2026,ppr,Jake Elliott,PHI,243,K20,235.7
2026,ppr,Chris Brooks,GB,274,RB76,236.0
2026,ppr,Philip Rivers,,360,QB47,236.0
2026,ppr,Evan Engram,DEN,361,TE43,236.0
2026,ppr,Kaleb Johnson,GB,218,RB60,238.3
2026,ppr,Spencer Shrader,IND,244,K21,240.0
2026,ppr,Cleveland Browns,DST,198,DST18,241.0
2026,ppr,Samaje Perine,CIN,275,RB77,241.5
2026,ppr,Chris Bell,MIA,245,WR80,242.3
2026,ppr,Pat Freiermuth,PIT,246,TE29,244.3
2026,ppr,Indianapolis Colts,DST,276,DST27,244.5
2026,ppr,Tyreek Hill,,247,WR81,245.7
2026,ppr,Jaylin Noel,HOU,277,WR90,246.0
2026,ppr,Jacoby Brissett,ARI,221,QB26,246.3
2026,ppr,Sean Tucker,TB,248,RB67,248.3
2026,ppr,Brock Wright,DET,367,TE46,249.0
2026,ppr,New York Giants,DST,222,DST19,249.3
2026,ppr,Mike Gesicki,CIN,368,TE47,250.0
2026,ppr,DeWayne McBride,,369,RB89,250.0
2026,ppr,Pat Bryant,DEN,278,WR91,250.5
2026,ppr,Gunnar Helm,TEN,279,TE31,251.0
2026,ppr,Washington Commanders,DST,280,DST28,252.0
2026,ppr,Luke Schoonmaker,DAL,372,TE49,253.0
2026,ppr,Kaytron Allen,WAS,249,RB68,253.7
2026,ppr,Wil Lutz,DEN,207,K14,255.0
2026,ppr,Rashod Bateman,BAL,281,WR92,255.0
2026,ppr,Jordan Nubin,,375,RB90,255.0
2026,ppr,Michael Penix Jr.,ATL,282,QB33,256.0
2026,ppr,Chris Tyree,NO,376,WR118,256.0
2026,ppr,New Orleans Saints,DST,250,DST22,257.0
2026,ppr,Odell Beckham Jr.,NYG,283,WR93,257.5
2026,ppr,Germie Bernard,PIT,284,WR94,258.0
2026,ppr,Emari Demercado,DAL,378,RB91,258.0
2026,ppr,Tua Tagovailoa,ATL,285,QB34,258.5
2026,ppr,Tampa Bay Buccaneers,DST,286,DST29,259.5
2026,ppr,Mason Taylor,NYJ,287,TE32,260.5
2026,ppr,Jermar Jefferson,MIN,380,RB93,261.0
2026,ppr,Seth McGowan,IND,288,RB78,261.5
2026,ppr,J.J. McCarthy,MIN,251,QB30,261.7
2026,ppr,Shedeur Sanders,CLE,252,QB31,262.0
2026,ppr,Devaughn Vele,NO,253,WR82,262.7
2026,ppr,Geno Smith,NYJ,382,QB51,263.0
2026,ppr,Levine Toilolo,,383,TE51,263.0
2026,ppr,Jalon Daniels,TB,384,QB52,264.0
2026,ppr,Elijah Cooks,,386,WR122,265.0
2026,ppr,Carolina Panthers,DST,254,DST23,266.0
2026,ppr,Troy Franklin,DEN,291,WR95,266.5
2026,ppr,Tyler Harrell,,388,WR123,267.0
2026,ppr,Kaden Wetjen,PIT,389,WR124,267.0
2026,ppr,Jaylen Wright,MIA,255,RB69,267.3
2026,ppr,Cole Kmet,CHI,293,TE33,267.5
2026,ppr,Cincinnati Bengals,DST,256,DST24,268.0
2026,ppr,Dalvin Cook,,391,RB94,269.0
2026,ppr,Ted Hurst,TB,294,WR96,269.5
2026,ppr,Darnell Washington,PIT,295,TE34,270.0
2026,ppr,Ezekiel Elliott,,392,RB95,270.0
2026,ppr,Brandon McManus,,394,K38,271.0
2026,ppr,Tanner Knue,,395,WR125,271.0
2026,ppr,Matt Prater,,396,K39,272.0
2026,ppr,Anthony Miller,,397,WR126,272.0
2026,ppr,Tyler Bass,BUF,226,K19,272.3
2026,ppr,Keon Coleman,BUF,296,WR97,274.5
2026,ppr,Tory Horton,SEA,297,WR98,275.0
2026,ppr,Jack Bech,LV,298,WR99,275.0
2026,ppr,Daniel Jackson,,399,WR127,275.0
2026,ppr,Sal Cannella,,400,TE54,275.0
2026,ppr,Marvin Mims Jr.,DEN,299,WR100,275.5
2026,ppr,Kirk Cousins,LV,300,QB35,275.5
2026,ppr,Darnell Mooney,NYG,301,WR101,276.0
2026,ppr,Deshaun Watson,CLE,402,QB53,276.0
2026,ppr,Quali Conley,,403,RB98,276.0
2026,ppr,Ty Johnson,BUF,302,RB79,277.5
2026,ppr,Zavion Thomas,CHI,303,WR102,277.5
2026,ppr,Christian Kirk,SF,258,WR84,279.3
2026,ppr,Jason Sanders,,304,K24,280.0
2026,ppr,Kyle Juszczyk,SF,406,RB99,280.0
2026,ppr,Jonnu Smith,GB,407,TE56,282.0
2026,ppr,Josiah Deguara,,408,TE57,282.0
2026,ppr,Ashton Dulin,IND,410,WR129,283.0
2026,ppr,Joshua Dobbs,DET,411,QB54,285.0
2026,ppr,Braxton Berrios,NYG,412,WR130,287.0
2026,ppr,Oscar Cardenas,,413,TE59,287.0
2026,ppr,Jake Tonges,SF,308,TE35,287.5
2026,ppr,Myles Price,MIN,415,WR131,288.0
2026,ppr,Eli Stowers,PHI,259,TE30,288.3
2026,ppr,Jarquez Hunter,,416,RB100,289.0
2026,ppr,Ollie Gordon,MIA,417,RB101,291.0
2026,ppr,Caden Davis,,420,K40,292.0
2026,ppr,Drew Stevens,WAS,309,K27,292.5
2026,ppr,Colby Parkinson,LAR,310,TE36,293.5
2026,ppr,Emanuel Wilson,SEA,311,RB80,293.5
2026,ppr,Demond Claiborne,MIN,312,RB81,293.5
2026,ppr,Chad Ryland,ARI,313,K28,294.5
2026,ppr,Jameis Winston,NYG,314,QB36,295.5
2026,ppr,Jacob Saylors,DET,422,RB103,297.0
2026,ppr,Kyle Williams,NE,261,WR85,297.7
2026,ppr,Andrei Iosivas,CIN,424,WR134,298.0
2026,ppr,Devin Singletary,NYG,262,RB71,298.3
2026,ppr,Chimere Dike,TEN,263,WR86,298.3
2026,ppr,Tyquan Thornton,KC,425,WR135,299.0
2026,ppr,Elic Ayomanor,TEN,315,WR103,299.5
2026,ppr,Darren Waller,CAR,427,TE61,300.0
2026,ppr,Sam Howell,DAL,428,QB57,300.0
2026,ppr,Joe Mixon,,264,RB72,300.3
2026,ppr,Ben Sauls,,316,K29,301.0
2026,ppr,Skyler Bell,BUF,317,WR104,301.0
2026,ppr,Kalif Raymond,CHI,429,WR136,301.0
2026,ppr,Devontez Walker,BAL,318,WR105,301.5
2026,ppr,LeQuint Allen Jr.,JAC,430,RB104,302.0
2026,ppr,Adam Trautman,DEN,432,TE63,303.0
2026,ppr,Las Vegas Raiders,DST,265,DST25,304.0
2026,ppr,Jequez Ezzard,,433,WR137,304.0
2026,ppr,Tommy DeVito,NE,319,QB37,304.5
2026,ppr,Tennessee Titans,DST,266,DST26,304.7
2026,ppr,Dawson Knox,BUF,320,TE37,305.0
2026,ppr,Casey Washington,CAR,434,WR138,305.0
2026,ppr,DJ Giddens,IND,435,RB105,305.0
2026,ppr,Jackson Hawes,BUF,436,TE64,305.0
2026,ppr,Andre Szmyt,CLE,321,K30,306.5
2026,ppr,Brandon Aiyuk,SF,269,WR88,306.7
2026,ppr,Joey Slye,TEN,322,K31,307.0
2026,ppr,Jimmy Horn Jr.,CAR,437,WR139,307.0
2026,ppr,Ty Simpson,LAR,270,QB32,307.3
2026,ppr,Adrian Martinez,,323,QB38,308.0
2026,ppr,Jelani Woods,NYJ,438,TE65,308.0
2026,ppr,KeAndre Lambert-Smith,LAC,439,WR140,309.0
2026,ppr,Jalen Jackson,,440,RB106,310.0
2026,ppr,Efton Chism,NE,441,WR141,310.0
2026,ppr,Kendre Miller,NO,324,RB82,310.5
2026,ppr,Coleman Owen,IND,442,WR142,311.0
2026,ppr,Theo Johnson,NYG,325,TE38,311.5
2026,ppr,Kyle Allen,BUF,326,QB39,311.5
2026,ppr,Kenny Pickett,CAR,443,QB58,312.0
2026,ppr,J.J. Taylor,,327,RB83,312.5
2026,ppr,Michael Trigg,DAL,328,TE39,313.0
2026,ppr,Camden Brown,DAL,329,WR106,313.0
2026,ppr,Carson Beck,ARI,444,QB59,313.0
2026,ppr,Kobe Lewis,,445,RB107,313.0
2026,ppr,Jahdae Walker,CHI,446,WR143,313.0
2026,ppr,Jonathan Mingo,DAL,448,WR144,314.0
2026,ppr,Malcolm Brown,,449,RB108,315.0
2026,ppr,Deon Yelder,,450,TE67,316.0
2026,ppr,Dohnte Meyers,CIN,331,WR107,316.5
2026,ppr,D.J. Montgomery,IND,451,WR145,317.0
2026,ppr,D'Vonte Price,,452,RB109,317.0
2026,ppr,Dimitri Stanley,,453,WR146,317.0
2026,ppr,Luke McCaffrey,WAS,332,WR108,317.5
2026,ppr,Tanner Gentry,,454,WR147,318.0
2026,ppr,Drew Allar,PIT,333,QB40,320.0
2026,ppr,Jake Moody,BAL,334,K32,320.0
2026,ppr,Ramel Keyton,,455,WR148,320.0
2026,ppr,Ryan Fitzgerald,CAR,335,K33,321.0
2026,ppr,D.J. Foster,,456,RB110,322.0
2026,ppr,Hollywood Brown,PHI,336,WR109,323.0
2026,ppr,Taysom Hill,,458,TE69,323.0
2026,ppr,Drew Lock,SEA,337,QB41,324.0
2026,ppr,Trayveon Williams,,460,RB111,324.0
2026,ppr,Joe Flacco,CIN,338,QB42,325.0
2026,ppr,Equanimeous St. Brown,,462,WR151,325.0
2026,ppr,Isaiah Washington,,463,WR152,325.0
2026,ppr,Mitchell Evans,CAR,464,TE70,325.0
2026,ppr,Roschon Johnson,CHI,339,RB85,326.0
2026,ppr,Austin Seibert,,465,K41,326.0
2026,ppr,Michael Mayer,LV,466,TE71,326.0
2026,ppr,Jarveon Howard,,467,RB112,326.0
2026,ppr,JuJu Smith-Schuster,,468,WR153,327.0
2026,ppr,Sione Vaki,DET,469,RB113,327.0
2026,ppr,Austin Ekeler,,470,RB114,328.0
2026,ppr,Lincoln Sefcik,,471,TE72,328.0
2026,ppr,Devin Neal,,340,RB86,328.5
2026,ppr,Kenjon Barner,,472,RB115,329.0
2026,ppr,Jimmy Garoppolo,LAR,473,QB60,329.0
2026,ppr,Trey Knox,,474,TE73,329.0
2026,ppr,Brashard Smith,KC,341,RB87,329.5
2026,ppr,Audric Estime,NO,342,RB88,329.5
2026,ppr,Justin Fields,KC,343,QB43,329.5
2026,ppr,Bam Knight,ARI,475,RB116,330.0
2026,ppr,Israel Abanikanda,DAL,477,RB117,331.0
2026,ppr,Lil'Jordan Humphrey,DEN,344,WR110,331.5
2026,ppr,Joshua Palmer,BUF,345,WR111,331.5
2026,ppr,Montrell Washington,,479,WR156,332.0
2026,ppr,Joe Milton,DAL,480,QB61,332.0
2026,ppr,Luke Lachey,,481,TE74,333.0
2026,ppr,Matt Gay,LV,289,K22,333.3
2026,ppr,Riley Patterson,MIA,290,K23,333.3
2026,ppr,Ja'Corey Brooks,,484,WR157,334.0
2026,ppr,Tyler Higbee,LAR,346,TE40,334.5
2026,ppr,B.T. Potter,,485,K43,335.0
2026,ppr,Miami Dolphins,DST,292,DST30,336.0
2026,ppr,Colbie Young,CIN,347,WR112,336.0
2026,ppr,Dylan Drummond,ATL,486,WR158,336.0
2026,ppr,Drake Dabney,GB,487,TE75,336.0
2026,ppr,Ulysses Bentley,IV,488,RB118,337.0
2026,ppr,Emmanuel Henderson Jr.,SEA,489,WR159,338.0
2026,ppr,Ja'Tavion Sanders,CAR,348,TE41,338.5
2026,ppr,Trishton Jackson,,491,WR160,339.0
2026,ppr,Drew Sample,CIN,492,TE77,340.0
2026,ppr,Josh Adams,,494,RB119,342.0
2026,ppr,Darius Slayton,NYG,495,WR162,343.0
2026,ppr,Marquez Stevenson,,496,WR163,343.0
2026,ppr,Tyson Bagent,CHI,497,QB63,343.0
2026,ppr,Tyler Huntley,BAL,350,QB44,343.5
2026,ppr,Tanner McKee,PHI,499,QB65,344.0
2026,ppr,KaVontae Turpin,DAL,351,WR114,344.5
2026,ppr,Quinn Ewers,JAC,352,QB45,344.5
2026,ppr,Charlie Smyth,NO,305,K25,346.0
2026,ppr,Dyami Brown,WAS,500,WR164,346.0
2026,ppr,Blake Grupe,NYJ,306,K26,346.3
2026,ppr,Arizona Cardinals,DST,307,DST31,346.3
2026,ppr,Elijah Arroyo,SEA,354,TE42,346.5
2026,ppr,Barion Brown,NO,355,WR115,347.5
2026,ppr,Erick All Jr.,CIN,502,TE78,348.0
2026,ppr,Jack Strand,ATL,357,QB46,349.0
2026,ppr,Cade Stover,HOU,503,TE79,349.0
2026,ppr,Princeton Fant,DAL,504,TE80,350.0
2026,ppr,Xavier Legette,CAR,505,WR165,351.0
2026,ppr,Roman Wilson,PIT,506,WR166,352.0
2026,ppr,CJ Daniels,LAR,359,WR116,352.5
2026,ppr,Sage Surratt,,507,WR167,353.0
2026,ppr,Hunter Luepke,DAL,508,RB120,353.0
2026,ppr,Artayvious Lynn,,510,TE82,354.0
2026,ppr,Tevin Jones,,512,WR168,355.0
2026,ppr,Tyrod Taylor,GB,362,QB48,356.0
2026,ppr,Andy Dalton,PHI,513,QB68,356.0
2026,ppr,Josh Oliver,MIN,363,TE44,356.5
2026,ppr,DJ Turner,,514,WR169,357.0
2026,ppr,Tahj Brooks,CIN,515,RB121,357.0
2026,ppr,Noah Gray,KC,364,TE45,358.0
2026,ppr,Matt Seybert,,516,TE83,358.0
2026,ppr,Chamon Metayer,,517,TE84,359.0
2026,ppr,Gardner Minshew,ARI,365,QB49,360.0
2026,ppr,Bo Melton,GB,520,WR170,360.0
2026,ppr,Deion Burks,IND,521,WR171,360.0
2026,ppr,Nick Folk,ATL,366,K37,361.0
2026,ppr,Mario Williams,,522,WR172,361.0
2026,ppr,Michael Burton,CLE,523,RB123,362.0
2026,ppr,Tyree Mayfield,,524,TE85,362.0
2026,ppr,Jordan Whittington,LAR,370,WR117,363.0
2026,ppr,Josh Whyle,GB,526,TE86,363.0
2026,ppr,Sam Roush,CHI,371,TE48,363.5
2026,ppr,Jalen Hurd,,528,WR173,364.0
2026,ppr,Brevyn Spann-Ford,DAL,529,TE87,364.0
2026,ppr,Elijah Higgins,ARI,373,TE50,364.5
2026,ppr,Mason Rudolph,PIT,374,QB50,364.5
2026,ppr,Tommy Sweeney,,530,TE88,365.0
2026,ppr,Montorie Foster Jr.,SEA,377,WR119,366.0
2026,ppr,Tyler Conklin,DET,531,TE89,366.0
2026,ppr,Reggie White Jr.,,532,WR174,366.0
2026,ppr,MyCole Pruitt,,533,TE90,367.0
2026,ppr,Charlie Kolar,LAC,534,TE91,367.0
2026,ppr,Josh Williams,TB,379,RB92,367.5
2026,ppr,Matt Colburn,II,535,RB124,368.0
2026,ppr,Konata Mumpfield,LAR,381,WR120,368.5
2026,ppr,Trey Benson,ARI,330,RB84,368.7
2026,ppr,Jahan Dotson,ATL,537,WR175,369.0
2026,ppr,Elijah Moore,PHI,385,WR121,369.5
2026,ppr,New York Jets,DST,387,DST32,370.0
2026,ppr,Darius Cooper,PHI,538,WR176,370.0
2026,ppr,Reggie Gilliam,NE,539,RB126,371.0
2026,ppr,Tommy Tremble,CAR,390,TE52,371.5
2026,ppr,Patrick Ricard,NYG,540,RB127,372.0
2026,ppr,Jake Browning,,541,QB71,372.0
2026,ppr,Thayer Thomas,,542,WR177,372.0
2026,ppr,Trenton Cannon,,543,RB128,373.0
2026,ppr,Salvon Ahmed,CHI,544,RB129,373.0
2026,ppr,Ben Skowronek,PIT,545,WR178,373.0
2026,ppr,AJ Dillon,CAR,398,RB96,374.0
2026,ppr,Devon Williams,,546,WR179,374.0
2026,ppr,Ke'Shawn Williams,CIN,547,WR180,374.0
2026,ppr,Kareem Hunt,,401,RB97,375.0
2026,ppr,Skyy Moore,GB,548,WR181,375.0
2026,ppr,Malik Benson,LV,549,WR182,375.0
2026,ppr,Jonathan Brady,,550,WR183,375.0
2026,ppr,Eli Raridon,NE,404,TE55,375.5
2026,ppr,Demarcus Robinson,SF,405,WR128,376.0
2026,ppr,Ray-Ray McCloud,CHI,551,WR184,376.0
2026,ppr,Dean Connors,LAR,552,RB130,376.0
2026,ppr,Jaylen Johnson,,553,WR185,378.0
2026,ppr,Justin Joly,MIA,409,TE58,378.5
2026,ppr,Keelan Cole Sr.,,554,WR186,379.0
2026,ppr,Mo Alie-Cox,IND,414,TE60,381.0
2026,ppr,Devin Gray,,556,WR187,381.0
2026,ppr,George Campbell,,557,WR188,382.0
2026,ppr,Ronnie Rivers,LAR,558,RB131,382.0
2026,ppr,Malachi Corley,CLE,418,WR132,383.0
2026,ppr,Carson Wentz,MIN,419,QB55,383.0
2026,ppr,Eli Heidenreich,PIT,421,RB102,384.0
2026,ppr,Stetson Bennett,LAR,559,QB72,384.0
2026,ppr,Seth Henigan,,560,QB73,384.0
2026,ppr,Jake Bobo,SEA,561,WR189,385.0
2026,ppr,Carlos Washington Jr.,,562,RB132,385.0
2026,ppr,Elijah Sarratt,BAL,349,WR113,385.7
2026,ppr,Josh Cameron,JAC,423,WR133,386.0
2026,ppr,K.J. Osborn,TEN,563,WR190,386.0
2026,ppr,Brady Russell,SEA,564,TE93,386.0
2026,ppr,Anthony Richardson Sr.,IND,426,QB56,387.0
2026,ppr,Colson Yankoff,WAS,565,TE94,387.0
2026,ppr,Jalen Milroe,SEA,566,QB74,388.0
2026,ppr,Nate Boerkircher,JAC,431,TE62,388.5
2026,ppr,Rasheed Williams,,567,RB133,389.0
2026,ppr,Will Shipley,PHI,568,RB134,389.0
2026,ppr,Will Howard,PIT,569,QB75,389.0
2026,ppr,Jackson Meeks,DET,570,WR191,390.0
2026,ppr,Ben Wooldridge,,571,QB76,390.0
2026,ppr,Justin Watson,,572,WR192,392.0
2026,ppr,Colton Dowell,,573,WR193,392.0
2026,ppr,C.J. Ham,,574,RB135,393.0
2026,ppr,Jalen Tolbert,MIA,575,WR194,393.0
2026,ppr,Durham Smythe,BAL,447,TE66,394.0
2026,ppr,Travis Homer,PIT,576,RB136,394.0
2026,ppr,Greg Joseph,,577,K45,395.0
2026,ppr,Austin Fort,,578,TE95,395.0
2026,ppr,John Ross,,579,WR195,396.0
2026,ppr,Sergio Bailey,II,580,WR196,396.0
2026,ppr,Michael Carter,TEN,581,RB137,396.0
2026,ppr,Zay Jones,,582,WR197,397.0
2026,ppr,Jam Miller,,583,RB138,397.0
2026,ppr,Michael Badgley,,584,K46,398.0
2026,ppr,Isaac Guerendo,SF,585,RB139,398.0
2026,ppr,Noah Fant,NO,457,TE68,398.5
2026,ppr,Tez Johnson,TB,459,WR149,399.0
2026,ppr,Latreal Jones,,586,WR198,399.0
2026,ppr,Xavier Smith,LAR,461,WR150,399.5
2026,ppr,Marquez Valdes-Scantling,,588,WR199,400.0
2026,ppr,Amari Cooper,,589,WR200,401.0
2026,ppr,Tyler Adams,,590,WR201,401.0
2026,ppr,DeAndre Hopkins,BAL,591,WR202,402.0
2026,ppr,Rodney Adams,,592,WR203,402.0
2026,ppr,Robert Tonyan,PIT,593,TE97,402.0
2026,ppr,Tay Martin,DET,476,WR154,402.5
2026,ppr,Bryce Lance,NO,478,WR155,403.0
2026,ppr,Derek Carr,,594,QB77,403.0
2026,ppr,Rahsul Faison,,595,RB140,403.0
2026,ppr,Mac Jones,SF,482,QB62,404.0
2026,ppr,Zane Gonzalez,,483,K42,404.0
2026,ppr,Zach Ertz,,596,TE98,404.0
2026,ppr,Dustin Hopkins,,597,K47,406.0
2026,ppr,Marcus Baugh,,598,TE99,406.0
2026,ppr,Austin Hooper,ATL,490,TE76,406.5
2026,ppr,Max Klare,LAR,393,TE53,406.7
2026,ppr,Greg Zuerlein,,601,K48,407.0
2026,ppr,Sterling Shepard,,602,WR205,407.0
2026,ppr,Jalen Royals,KC,493,WR161,408.0
2026,ppr,Josh Johnson,CIN,604,QB78,408.0
2026,ppr,Jordan Akins,,605,TE102,408.0
2026,ppr,Trey Lance,LAC,498,QB64,409.0
2026,ppr,Van Jefferson,,606,WR206,409.0
2026,ppr,Antonio Gibson,,607,RB141,410.0
2026,ppr,Keytaon Thompson,,608,WR207,410.0
2026,ppr,Matthew Wright,,609,K49,411.0
2026,ppr,Chris Autman-Bell,,610,WR208,411.0
2026,ppr,Kenny McIntosh,,611,RB142,411.0
2026,ppr,Kadarius Toney,,612,WR209,412.0
2026,ppr,Dont'e Thornton Jr.,LV,613,WR210,412.0
2026,ppr,Tre Nixon,,614,WR211,413.0
2026,ppr,DeMario Douglas,NE,615,WR212,413.0
2026,ppr,Luke Musgrave,GB,509,TE81,414.0
2026,ppr,Zamir White,NO,616,RB143,414.0
2026,ppr,Ellis Merriweather,,617,RB144,414.0
2026,ppr,Cyril Grayson Jr.,,618,WR213,415.0
2026,ppr,Will Levis,,621,QB79,416.0
2026,ppr,Marcus Mariota,WAS,518,QB69,417.0
2026,ppr,Jacardia Wright,SEA,519,RB122,417.0
2026,ppr,Max Duggan,,622,QB80,417.0
2026,ppr,Jared Smart,,623,WR215,417.0
2026,ppr,Tanner Brown,,624,K50,418.0
2026,ppr,Gunnar Oakes,,625,TE103,418.0
2026,ppr,Cade York,,527,K44,419.0
2026,ppr,Jordan Franks,,627,TE105,420.0
2026,ppr,Joshua Karty,,628,K51,420.0
2026,ppr,Brenden Rice,,629,WR216,421.0
2026,ppr,Dallen Bentley,DEN,630,TE106,421.0
2026,ppr,Mitchell Trubisky,TEN,501,QB66,421.5
2026,ppr,Jerome Ford,WAS,536,RB125,421.5
2026,ppr,Jordan Travis,,631,QB81,422.0
2026,ppr,Cade Klubnik,NYJ,511,QB67,422.5
2026,ppr,Michael Pratt,,632,QB82,423.0
2026,ppr,Davis Mills,HOU,525,QB70,424.0
2026,ppr,Carson Steele,PHI,633,RB146,424.0
2026,ppr,Aaron Shampklin,,634,RB147,425.0
2026,ppr,Tutu Atwell,LAR,635,WR217,426.0
2026,ppr,Parker Romo,,636,K52,426.0
2026,ppr,D.J. Williams,,638,RB148,427.0
2026,ppr,Frank Gore Jr.,BUF,639,RB149,428.0
2026,ppr,Marlin Klein,HOU,555,TE92,429.0
2026,ppr,Jude McAtamney,,640,K53,429.0
2026,ppr,Jacob Kibodi,,641,RB150,430.0
2026,ppr,John Samuel Shenker,,642,TE107,431.0
2026,ppr,Tommy Mellott,,643,WR218,432.0
2026,ppr,Raheim Sanders,CLE,644,RB151,433.0
