Year,Scoring,Player,Team,ADP Rank,POS,ADP
2026,half,Michael Pittman Jr.,PIT,115,WR46,113.7
2026,half,Brandon Aubrey,DAL,116,K1,115.7
2026,half,Jordyn Tyson,NO,117,WR47,118.7
2026,half,Jake Ferguson,DAL,118,TE13,120.7
2026,half,Rachaad White,WAS,119,RB41,122.0
2026,half,Dallas Goedert,PHI,120,TE14,122.3
2026,half,KC Concepcion,CLE,121,WR48,123.0
2026,half,Mark Andrews,BAL,122,TE15,123.7
2026,half,Jared Goff,DET,123,QB16,124.3
2026,half,Denver Broncos,DST,124,DST3,124.7
2026,half,Aaron Jones Sr.,MIN,125,RB42,125.0
2026,half,Seattle Seahawks,DST,126,DST4,126.3
2026,half,Mike Washington Jr.,LV,127,RB43,129.0
2026,half,Wan'Dale Robinson,TEN,128,WR49,130.3
2026,half,Kyler Murray,MIN,129,QB17,132.7
2026,half,Matthew Golden,GB,130,WR50,135.0
2026,half,Juwan Johnson,NO,131,TE16,141.3
2026,half,Ka'imi Fairbairn,HOU,132,K2,144.0
2026,half,Cameron Dicker,LAC,133,K3,145.3
2026,half,Jakobi Meyers,JAC,134,WR51,146.0
2026,half,Philadelphia Eagles,DST,135,DST5,146.0
2026,half,Tyler Allgeier,ARI,136,RB44,146.3
2026,half,Jordan Love,GB,137,QB18,146.3
2026,half,Baker Mayfield,TB,138,QB19,147.3
2026,half,Woody Marks,HOU,139,RB45,147.7
2026,half,Chris Rodriguez Jr.,JAC,140,RB46,148.0
2026,half,Xavier Worthy,KC,141,WR52,148.0
2026,half,Deebo Samuel Sr.,SF,142,WR53,148.0
2026,half,Rashid Shaheed,SEA,143,WR54,149.3
2026,half,Jonah Coleman,DEN,144,RB47,151.3
2026,half,Brian Robinson Jr.,ATL,145,RB48,151.7
2026,half,Jason Myers,SEA,146,K4,153.0
2026,half,Romeo Doubs,NE,147,WR55,153.7
2026,half,Sam Darnold,SEA,148,QB20,155.7
2026,half,Zach Charbonnet,SEA,149,RB49,156.0
2026,half,Ja'Kobi Lane,BAL,150,WR56,156.3
2026,half,Hunter Henry,NE,151,TE17,157.7
2026,half,Alvin Kamara,NO,152,RB50,159.0
2026,half,Malik Willis,MIA,153,QB21,160.7
2026,half,Kayshon Boutte,HOU,199,WR66,162.5
2026,half,Jalen Coker,CAR,154,WR57,164.3
2026,half,Tyrone Tracy Jr.,NYG,155,RB51,164.3
2026,half,Tank Bigsby,PHI,156,RB52,165.0
2026,half,Isiah Pacheco,DET,157,RB53,167.0
2026,half,Tyjae Spears,TEN,158,RB54,167.3
2026,half,Khalil Shakir,BUF,159,WR58,167.7
2026,half,Kaelon Black,SF,160,RB55,168.3
2026,half,Emmett Johnson,KC,161,RB56,169.3
2026,half,Keaton Mitchell,LAC,162,RB57,169.7
2026,half,Cam Little,JAC,163,K5,170.0
2026,half,Jake Elliott,PHI,240,K18,171.0
2026,half,New England Patriots,DST,164,DST6,172.0
2026,half,C.J. Stroud,HOU,165,QB22,172.3
2026,half,Keenan Allen,IND,166,WR59,172.3
2026,half,Tre Tucker,LV,167,WR60,172.3
2026,half,Tyler Shough,NO,168,QB23,172.7
2026,half,Chig Okonkwo,WAS,169,TE18,174.0
2026,half,Nick Folk,ATL,241,K19,174.0
2026,half,Fernando Mendoza,LV,170,QB24,174.3
2026,half,Braelon Allen,NYJ,171,RB58,175.0
2026,half,Jalen Nailor,LV,172,WR61,176.0
2026,half,Dylan Sampson,CLE,206,RB60,176.5
2026,half,T.J. Hockenson,MIN,173,TE19,176.7
2026,half,Brenton Strange,JAC,174,TE20,178.0
2026,half,Bryce Young,CAR,175,QB25,178.7
2026,half,Dontayvion Wicks,PHI,208,WR68,179.0
2026,half,Kirk Cousins,LV,244,QB32,180.0
2026,half,Aaron Rodgers,PIT,176,QB26,180.3
2026,half,Cam Ward,TEN,177,QB27,181.0
2026,half,Ray Davis,BUF,178,RB59,181.3
2026,half,Daniel Jones,IND,179,QB28,181.3
2026,half,David Njoku,LAC,180,TE21,182.0
2026,half,Terrance Ferguson,LAR,181,TE22,183.3
2026,half,Dalton Schultz,HOU,182,TE23,184.0
2026,half,Michael Penix Jr.,ATL,249,QB33,184.0
2026,half,Denzel Boston,CLE,183,WR62,186.3
2026,half,Jauan Jennings,MIN,184,WR63,187.0
2026,half,Malik Washington,MIA,216,WR70,187.5
2026,half,Minnesota Vikings,DST,185,DST7,188.0
2026,half,Austin Ekeler,,252,RB68,189.0
2026,half,Jacksonville Jaguars,DST,186,DST8,190.0
2026,half,Oronde Gadsden,LAC,187,TE24,190.0
2026,half,Baltimore Ravens,DST,188,DST9,191.0
2026,half,Malachi Fields,NYG,218,WR71,192.0
2026,half,Kaleb Johnson,GB,253,RB69,192.0
2026,half,Kenyon Sadiq,NYJ,189,TE25,193.3
2026,half,Cyrus Allen,KC,219,WR72,193.5
2026,half,Harrison Mevis,LAR,190,K6,193.7
2026,half,Pittsburgh Steelers,DST,191,DST10,193.7
2026,half,Jake Bates,DET,192,K7,194.0
2026,half,AJ Barner,SEA,193,TE26,195.7
2026,half,Travis Hunter,JAC,194,WR64,195.7
2026,half,Los Angeles Chargers,DST,195,DST11,196.0
2026,half,Harrison Butker,KC,196,K8,196.3
2026,half,Deshaun Watson,CLE,259,QB34,200.0
2026,half,Cooper Kupp,SEA,197,WR65,200.3
2026,half,Jerry Jeudy,CLE,220,WR73,202.5
2026,half,George Holani,SEA,261,RB71,204.0
2026,half,Pat Freiermuth,PIT,198,TE27,204.7
2026,half,Najee Harris,NYG,262,RB72,207.0
2026,half,Justice Hill,BAL,223,RB62,207.5
2026,half,Caleb Douglas,MIA,224,WR74,207.5
2026,half,Chris Bell,MIA,225,WR75,208.5
2026,half,Evan McPherson,CIN,200,K9,208.7
2026,half,Eddy Pineiro,SF,201,K10,209.0
2026,half,Tyler Loop,BAL,202,K11,209.0
2026,half,Jalen McMillan,TB,226,WR76,209.0
