player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Malachi Corley,CLE,WR,12,2025,568.0,-1.64,-0.14,-2.22,-0.18
Roman Wilson,PIT,WR,14,2025,569.0,-1.64,-0.12,-2.32,-0.17
Derius Davis,LAC,WR,10,2025,570.0,-1.65,-0.16,-2.3,-0.23
Ke'Shawn Williams,CIN,WR,10,2025,571.0,-1.65,-0.16,-2.3,-0.23
Tyler Lockett,LV,WR,16,2025,572.0,-1.66,-0.1,-2.21,-0.14
Jackson Hawes,BUF,TE,16,2025,573.0,-1.66,-0.1,-2.54,-0.16
Alec Ingold,MIA,RB,16,2025,574.0,-1.68,-0.1,-3.41,-0.21
Trevor Etienne,CAR,RB,16,2025,575.0,-1.69,-0.11,-3.43,-0.21
Isaiah Williams,NYJ,WR,14,2025,576.0,-1.69,-0.12,-2.32,-0.17
Brandin Cooks,BUF,WR,15,2025,577.0,-1.7,-0.11,-2.29,-0.15
Tre Harris,LAC,WR,16,2025,578.0,-1.7,-0.11,-2.25,-0.14
Isaiah Bond,CLE,WR,15,2025,579.0,-1.71,-0.11,-2.3,-0.15
Luke Musgrave,GB,TE,16,2025,580.0,-1.71,-0.11,-2.6,-0.16
KhaDarel Hodge,ATL,WR,11,2025,581.0,-1.72,-0.16,-2.39,-0.22
Harrison Bryant,HOU,TE,11,2025,582.0,-1.73,-0.16,-2.47,-0.22
Brady Russell,SEA,RB,15,2025,583.0,-1.73,-0.12,-3.45,-0.23
Mitchell Evans,CAR,TE,16,2025,584.0,-1.74,-0.11,-2.64,-0.17
Josiah Deguara,ARI,TE,11,2025,585.0,-1.74,-0.16,-2.5,-0.23
Ben Yurosek,MIN,TE,11,2025,586.0,-1.75,-0.16,-2.5,-0.23
Xavier Smith,LAR,WR,15,2025,587.0,-1.76,-0.12,-2.4,-0.16
Feleipe Franks,ATL,TE,11,2025,588.0,-1.76,-0.16,-2.52,-0.23
Jeremy Ruckert,NYJ,TE,16,2025,589.0,-1.77,-0.11,-2.66,-0.17
Quintin Morris,JAC,TE,12,2025,590.0,-1.77,-0.15,-2.55,-0.21
Dylan Laube,LV,RB,16,2025,591.0,-1.77,-0.11,-3.56,-0.22
Adam Trautman,DEN,TE,16,2025,592.0,-1.77,-0.11,-2.68,-0.17
Anthony Gould,IND,WR,11,2025,593.0,-1.78,-0.16,-2.48,-0.23
Julius Chestnut,TEN,RB,16,2025,594.0,-1.8,-0.11,-3.6,-0.22
Scotty Miller,PIT,WR,12,2025,595.0,-1.81,-0.15,-2.49,-0.21
Gage Larvadain,CLE,WR,12,2025,596.0,-1.81,-0.15,-2.5,-0.21
Darius Cooper,PHI,WR,12,2025,597.0,-1.82,-0.15,-2.51,-0.21
Kyle Williams,NE,WR,16,2025,598.0,-1.83,-0.11,-2.54,-0.16
Jamal Agnew,FA,WR,11,2025,599.0,-1.83,-0.17,-2.57,-0.23
Reggie Gilliam,BUF,RB,16,2025,600.0,-1.83,-0.11,-3.65,-0.23
Ian Thomas,LV,TE,14,2025,601.0,-1.83,-0.13,-2.69,-0.19
Mason Tipton,NO,WR,13,2025,602.0,-1.84,-0.14,-2.53,-0.19
Jack Westover,NE,RB,16,2025,603.0,-1.85,-0.12,-3.68,-0.23
Jack Bech,LV,WR,15,2025,604.0,-1.86,-0.12,-2.51,-0.17
Noah Gray,KC,TE,15,2025,605.0,-1.87,-0.12,-2.75,-0.18
David Sills V,ATL,WR,16,2025,606.0,-1.88,-0.12,-2.6,-0.16
Tyrell Shavers,BUF,WR,16,2025,607.0,-1.89,-0.12,-2.65,-0.17
Trent Sherfield Sr.,ARI,WR,12,2025,608.0,-1.91,-0.16,-2.66,-0.22
Tylan Wallace,BAL,WR,13,2025,609.0,-1.92,-0.15,-2.66,-0.2
