player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Mason Taylor,NYJ,TE,13,2025,333.0,-0.48,-0.04,-1.11,-0.09
Xavier Worthy,KC,WR,14,2025,334.0,-0.48,-0.03,-0.7,-0.05
Ty Johnson,BUF,RB,16,2025,335.0,-0.5,-0.03,-1.64,-0.1
Isaiah Hodgins,NYG,WR,6,2025,336.0,-0.5,-0.08,-0.69,-0.12
James Mitchell,CAR,TE,4,2025,337.0,-0.5,-0.12,-0.75,-0.19
Braxton Berrios,HOU,WR,4,2025,338.0,-0.5,-0.13,-0.68,-0.17
Shane Zylstra,DET,TE,4,2025,339.0,-0.51,-0.13,-0.76,-0.19
Josh Reynolds,NYJ,WR,5,2025,340.0,-0.52,-0.1,-0.68,-0.14
Joe Milton III,DAL,QB,3,2025,341.0,-0.52,-0.17,,
Jayden Higgins,HOU,WR,16,2025,342.0,-0.52,-0.03,-0.82,-0.05
D'Ernest Johnson,NE,RB,5,2025,343.0,-0.52,-0.1,-1.03,-0.21
Kalel Mullings,TEN,RB,5,2025,344.0,-0.53,-0.11,-1.04,-0.21
Mike Gesicki,CIN,TE,12,2025,345.0,-0.53,-0.04,-1.17,-0.1
Trey Lance,LAC,QB,3,2025,346.0,-0.53,-0.18,,
Lucas Krull,DEN,TE,4,2025,347.0,-0.53,-0.13,-0.79,-0.2
Zavier Scott,MIN,RB,10,2025,348.0,-0.54,-0.05,-1.36,-0.14
Luke McCaffrey,WAS,WR,9,2025,349.0,-0.55,-0.06,-0.78,-0.09
A.J. Dillon,PHI,RB,6,2025,350.0,-0.55,-0.09,-1.11,-0.19
Tyson Bagent,CHI,QB,3,2025,351.0,-0.55,-0.18,,
Jake Tonges,SF,TE,16,2025,352.0,-0.56,-0.03,-1.41,-0.09
Mitchell Trubisky,BUF,QB,3,2025,353.0,-0.56,-0.19,,
Tanner McKee,PHI,QB,3,2025,354.0,-0.56,-0.19,,
Zach Wilson,MIA,QB,3,2025,355.0,-0.56,-0.19,,
Keleki Latu,BUF,TE,4,2025,356.0,-0.56,-0.14,-0.83,-0.21
Joshua Dobbs,NE,QB,3,2025,357.0,-0.57,-0.19,,
Gabe Davis,BUF,WR,5,2025,358.0,-0.57,-0.11,-0.76,-0.15
Logan Woodside,ARI,QB,3,2025,359.0,-0.57,-0.19,,
Brady Cook,NYJ,QB,4,2025,360.0,-0.57,-0.14,,
Cade Otton,TB,TE,15,2025,361.0,-0.58,-0.04,-1.31,-0.09
Ronnie Rivers,LAR,RB,6,2025,362.0,-0.58,-0.1,-1.16,-0.19
Cam Ward,TEN,QB,16,2025,363.0,-0.58,-0.04,,
Hayden Rucci,MIA,TE,4,2025,364.0,-0.58,-0.15,-0.85,-0.21
David Moore,CAR,WR,4,2025,365.0,-0.59,-0.15,-0.8,-0.2
Tim Jones,JAC,WR,4,2025,366.0,-0.59,-0.15,-0.8,-0.2
Velus Jones Jr.,SEA,RB,6,2025,367.0,-0.6,-0.1,-1.19,-0.2
Mack Hollins,NE,WR,15,2025,368.0,-0.61,-0.04,-0.87,-0.06
Curtis Samuel,BUF,WR,6,2025,369.0,-0.62,-0.1,-0.83,-0.14
Quinton Bell,MIA,WR,4,2025,370.0,-0.62,-0.15,-0.85,-0.21
Jordan Clark,NYJ,WR,4,2025,370.0,-0.62,-0.15,-0.85,-0.21
Jalen Cropper,DAL,WR,4,2025,370.0,-0.62,-0.15,-0.85,-0.21
Roschon Johnson,CHI,RB,6,2025,373.0,-0.63,-0.1,-1.23,-0.21
Elic Ayomanor,TEN,WR,15,2025,374.0,-0.63,-0.04,-0.9,-0.06
Michael Mayer,LV,TE,12,2025,375.0,-0.63,-0.05,-1.27,-0.11
Evan Engram,DEN,TE,15,2025,376.0,-0.64,-0.04,-1.38,-0.09
Craig Reynolds,NE,RB,6,2025,377.0,-0.64,-0.11,-1.26,-0.21
Riley Leonard,IND,QB,4,2025,378.0,-0.65,-0.16,,
Isaiah Davis,NYJ,RB,16,2025,379.0,-0.66,-0.04,-1.91,-0.12
Tip Reiman,ARI,TE,5,2025,380.0,-0.66,-0.13,-0.98,-0.2
Josh Johnson,WAS,QB,4,2025,381.0,-0.67,-0.17,,
Cooper Kupp,SEA,WR,15,2025,382.0,-0.67,-0.04,-0.93,-0.06
Greg Dortch,ARI,WR,12,2025,383.0,-0.67,-0.06,-0.99,-0.08
Kevin Austin Jr.,NO,WR,7,2025,384.0,-0.67,-0.1,-0.95,-0.14
Tom Kennedy,DET,WR,5,2025,385.0,-0.68,-0.14,-0.92,-0.18
Andy Dalton,CAR,QB,4,2025,386.0,-0.68,-0.17,,
Jahdae Walker,CHI,WR,6,2025,387.0,-0.69,-0.11,-0.94,-0.16
Moliki Matavao,NO,TE,5,2025,388.0,-0.69,-0.14,-1.01,-0.2
Dawson Knox,BUF,TE,16,2025,389.0,-0.69,-0.04,-1.52,-0.09
Cam Grandy,CIN,TE,5,2025,390.0,-0.7,-0.14,-1.02,-0.2
Jalen Brooks,ARI,WR,5,2025,391.0,-0.7,-0.14,-0.95,-0.19
Jerry Jeudy,CLE,WR,16,2025,392.0,-0.7,-0.04,-1.04,-0.07
Treylon Burks,WAS,WR,7,2025,393.0,-0.7,-0.1,-0.94,-0.13
Darius Slayton,NYG,WR,13,2025,394.0,-0.71,-0.05,-0.96,-0.07
Anthony Firkser,DET,TE,6,2025,395.0,-0.71,-0.12,-1.07,-0.18
Jelani Woods,NYJ,TE,5,2025,396.0,-0.71,-0.14,-1.04,-0.21
Jordan Watkins,SF,WR,5,2025,397.0,-0.72,-0.14,-0.97,-0.19
Jonathan Mingo,DAL,WR,5,2025,398.0,-0.72,-0.14,-0.99,-0.2
Marcedes Lewis,DEN,TE,5,2025,399.0,-0.73,-0.15,-1.06,-0.21
Justin Shorter,LV,TE,5,2025,399.0,-0.73,-0.15,-1.06,-0.21
Mitchell Fraboni,DEN,TE,5,2025,399.0,-0.73,-0.15,-1.06,-0.21
Jeremy McNichols,WAS,RB,16,2025,402.0,-0.74,-0.05,-1.98,-0.12
Teddy Bridgewater,TB,QB,4,2025,403.0,-0.74,-0.19,,
Andre Baccellia,ARI,WR,5,2025,404.0,-0.75,-0.15,-1.02,-0.2
Brian Robinson Jr.,SF,RB,16,2025,405.0,-0.75,-0.05,-1.96,-0.12
Noah Fant,CIN,TE,14,2025,406.0,-0.75,-0.05,-1.48,-0.11
Hunter Long,JAC,TE,9,2025,407.0,-0.75,-0.08,-1.25,-0.14
Ray-Ray McCloud III,FA,WR,6,2025,408.0,-0.75,-0.12,-1.01,-0.17
Cooper Rush,BAL,QB,4,2025,409.0,-0.75,-0.19,,
Sione Vaki,DET,RB,7,2025,410.0,-0.75,-0.11,-1.47,-0.21
Chimere Dike,TEN,WR,16,2025,411.0,-0.76,-0.05,-1.17,-0.07
Jakob Johnson,HOU,RB,7,2025,412.0,-0.76,-0.11,-1.48,-0.21
Travis Homer,CHI,RB,7,2025,413.0,-0.76,-0.11,-1.48,-0.21
DJ Giddens,IND,RB,8,2025,414.0,-0.76,-0.1,-1.53,-0.19
Tyquan Thornton,KC,WR,14,2025,415.0,-0.77,-0.05,-1.13,-0.08
Gardner Minshew II,KC,QB,4,2025,416.0,-0.77,-0.19,,
Kyle Allen,DET,QB,4,2025,417.0,-0.77,-0.19,,
Nick Mullens,JAC,QB,4,2025,418.0,-0.77,-0.19,,
Jimmy Garoppolo,LAR,QB,4,2025,419.0,-0.77,-0.19,,
Tez Johnson,TB,WR,15,2025,420.0,-0.77,-0.05,-1.21,-0.08
Britain Covey,PHI,WR,5,2025,421.0,-0.77,-0.15,-1.06,-0.21
Dalen Cambre,NYG,WR,5,2025,421.0,-0.77,-0.15,-1.06,-0.21
Jason Brownlee,KC,WR,5,2025,421.0,-0.77,-0.15,-1.06,-0.21
DeAndre Carter,CLE,WR,5,2025,421.0,-0.77,-0.15,-1.06,-0.21
Jalen Milroe,SEA,QB,4,2025,425.0,-0.77,-0.19,,
Tahj Washington,MIA,WR,5,2025,426.0,-0.78,-0.16,-1.07,-0.21
Xavier Legette,CAR,WR,14,2025,427.0,-0.78,-0.06,-1.23,-0.09
Mason Rudolph,PIT,QB,5,2025,428.0,-0.78,-0.16,,
Josh Whyle,GB,TE,7,2025,429.0,-0.79,-0.11,-1.21,-0.17
Zay Jones,ARI,WR,8,2025,430.0,-0.79,-0.1,-1.08,-0.13
Ollie Gordon II,MIA,RB,16,2025,431.0,-0.81,-0.05,-2.13,-0.13
KaVontae Turpin,DAL,WR,14,2025,432.0,-0.83,-0.06,-1.17,-0.08
Austin Trammell,JAC,WR,6,2025,433.0,-0.83,-0.14,-1.12,-0.19
Gunnar Helm,TEN,TE,16,2025,434.0,-0.84,-0.05,-1.65,-0.1
George Holani,SEA,RB,10,2025,435.0,-0.84,-0.08,-1.77,-0.18
Terrance Ferguson,LAR,TE,13,2025,436.0,-0.84,-0.06,-1.55,-0.12
Pharaoh Brown,ARI,TE,6,2025,437.0,-0.85,-0.14,-1.24,-0.21
Deven Thompkins,ATL,WR,6,2025,438.0,-0.85,-0.14,-1.16,-0.19
Efton Chism III,NE,WR,7,2025,439.0,-0.86,-0.12,-1.19,-0.17
Kenny Pickett,LV,QB,5,2025,440.0,-0.86,-0.17,,
Tutu Atwell,LAR,WR,9,2025,441.0,-0.86,-0.1,-1.23,-0.14
Nate Adkins,DEN,TE,8,2025,442.0,-0.86,-0.11,-1.35,-0.17
Kendrick Bourne,SF,WR,15,2025,443.0,-0.87,-0.06,-1.32,-0.09
Isaac Guerendo,SF,RB,8,2025,444.0,-0.87,-0.11,-1.69,-0.21
Lil'Jordan Humphrey,DEN,WR,9,2025,445.0,-0.87,-0.1,-1.19,-0.13
Brayden Willis,SF,TE,6,2025,446.0,-0.87,-0.15,-1.27,-0.21
Casey Washington,ATL,WR,7,2025,447.0,-0.88,-0.13,-1.19,-0.17
Will Dissly,LAC,TE,8,2025,448.0,-0.89,-0.11,-1.36,-0.17
Sterling Shepard,TB,WR,13,2025,449.0,-0.89,-0.07,-1.19,-0.09
Adonai Mitchell,NYJ,WR,15,2025,450.0,-0.9,-0.06,-1.37,-0.09
Ameer Abdullah,IND,RB,12,2025,451.0,-0.9,-0.07,-1.94,-0.16
Jalen Nailor,MIN,WR,16,2025,452.0,-0.9,-0.06,-1.42,-0.09
Jerome Ford,CLE,RB,13,2025,453.0,-0.91,-0.07,-2.01,-0.15
Cade Stover,HOU,TE,8,2025,454.0,-0.92,-0.11,-1.39,-0.17
Calvin Austin III,PIT,WR,13,2025,455.0,-0.92,-0.07,-1.29,-0.1
Jalen Royals,KC,WR,6,2025,456.0,-0.93,-0.15,-1.27,-0.21
Kene Nwangwu,NYJ,RB,9,2025,457.0,-0.93,-0.1,-1.83,-0.2
Raheem Mostert,LV,RB,12,2025,458.0,-0.93,-0.08,-1.98,-0.16
Jonnu Smith,PIT,TE,16,2025,459.0,-0.93,-0.06,-1.76,-0.11
Cole Kmet,CHI,TE,15,2025,460.0,-0.94,-0.06,-1.71,-0.11
Dillon Gabriel,CLE,QB,10,2025,461.0,-0.94,-0.09,,
