player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Tyler Johnson,NYJ,WR,12,2025,524.0,-1.25,-0.1,-1.73,-0.14
Ray Davis,BUF,RB,16,2025,525.0,-1.25,-0.08,-2.68,-0.17
Hunter Luepke,DAL,RB,16,2025,526.0,-1.27,-0.08,-2.69,-0.17
Davis Allen,LAR,TE,16,2025,527.0,-1.27,-0.08,-2.14,-0.13
Elijah Arroyo,SEA,TE,13,2025,528.0,-1.28,-0.1,-2.03,-0.16
British Brooks,HOU,RB,12,2025,529.0,-1.28,-0.11,-2.5,-0.21
Cedrick Wilson Jr.,MIA,WR,9,2025,530.0,-1.29,-0.14,-1.74,-0.19
Tyler Badie,DEN,RB,15,2025,531.0,-1.29,-0.09,-2.65,-0.18
Mason Kinsey,TEN,WR,9,2025,532.0,-1.3,-0.14,-1.77,-0.2
Demarcus Robinson,SF,WR,13,2025,533.0,-1.3,-0.1,-1.74,-0.13
Nick Kallerup,SEA,TE,9,2025,534.0,-1.31,-0.15,-1.9,-0.21
Daniel Bellinger,NYG,TE,15,2025,535.0,-1.31,-0.09,-2.19,-0.15
John Metchie III,NYJ,WR,15,2025,536.0,-1.32,-0.09,-1.85,-0.12
Beaux Collins,NYG,WR,9,2025,537.0,-1.34,-0.15,-1.82,-0.2
Will Shipley,PHI,RB,14,2025,538.0,-1.35,-0.1,-2.71,-0.19
Colson Yankoff,WAS,RB,13,2025,539.0,-1.37,-0.11,-2.68,-0.21
Kalif Raymond,DET,WR,14,2025,540.0,-1.39,-0.1,-1.91,-0.14
Eric Saubert,SEA,TE,10,2025,541.0,-1.39,-0.14,-2.04,-0.2
Tucker Fisk,LAC,TE,10,2025,542.0,-1.4,-0.14,-2.05,-0.2
Ashton Dulin,IND,WR,11,2025,543.0,-1.4,-0.13,-1.9,-0.17
Chris Moore,WAS,WR,13,2025,544.0,-1.41,-0.11,-1.92,-0.15
Jackson Hawes,BUF,TE,16,2025,545.0,-1.41,-0.09,-2.3,-0.14
Foster Moreau,NO,TE,11,2025,546.0,-1.42,-0.13,-2.11,-0.19
Ross Dwelley,CAR,TE,10,2025,547.0,-1.42,-0.14,-2.08,-0.21
Dyami Brown,JAC,WR,14,2025,548.0,-1.42,-0.1,-1.98,-0.14
Chris Brooks,GB,RB,16,2025,549.0,-1.43,-0.09,-2.91,-0.18
Carter Runyon,LV,TE,10,2025,550.0,-1.44,-0.14,-2.1,-0.21
Devin Culp,TB,TE,11,2025,551.0,-1.44,-0.13,-2.15,-0.2
LeQuint Allen Jr.,JAC,RB,16,2025,552.0,-1.44,-0.09,-2.93,-0.18
Dare Ogunbowale,HOU,RB,16,2025,553.0,-1.45,-0.09,-2.96,-0.18
DeAndre Hopkins,BAL,WR,16,2025,554.0,-1.45,-0.09,-1.98,-0.12
Jaylin Noel,HOU,WR,16,2025,555.0,-1.45,-0.09,-2.02,-0.13
Tim Patrick,JAC,WR,15,2025,556.0,-1.46,-0.1,-2.06,-0.14
Scott Matlock,LAC,RB,15,2025,557.0,-1.47,-0.1,-2.95,-0.2
JuJu Smith-Schuster,KC,WR,16,2025,558.0,-1.49,-0.09,-2.02,-0.13
Julian Hill,MIA,TE,13,2025,559.0,-1.49,-0.11,-2.27,-0.17
Tommy Tremble,CAR,TE,16,2025,560.0,-1.5,-0.09,-2.42,-0.15
Jake Bobo,SEA,WR,10,2025,561.0,-1.5,-0.15,-2.04,-0.2
Van Jefferson,TEN,WR,16,2025,562.0,-1.5,-0.09,-2.01,-0.13
Roman Wilson,PIT,WR,14,2025,563.0,-1.5,-0.11,-2.12,-0.15
Elijah Higgins,ARI,TE,16,2025,564.0,-1.51,-0.09,-2.43,-0.15
Malik Heath,ATL,WR,11,2025,565.0,-1.51,-0.14,-2.05,-0.19
Savion Williams,GB,WR,12,2025,566.0,-1.51,-0.13,-2.04,-0.17
Jimmy Horn Jr.,CAR,WR,12,2025,567.0,-1.52,-0.13,-2.04,-0.17
Malachi Corley,CLE,WR,12,2025,568.0,-1.52,-0.13,-2.04,-0.17
Andrew Beck,NYJ,RB,16,2025,569.0,-1.52,-0.1,-3.06,-0.19
Mitchell Evans,CAR,TE,16,2025,570.0,-1.54,-0.1,-2.46,-0.15
Adam Prentice,DEN,RB,16,2025,571.0,-1.54,-0.1,-3.09,-0.19
Derius Davis,LAC,WR,10,2025,572.0,-1.55,-0.16,-2.13,-0.21
Ke'Shawn Williams,CIN,WR,10,2025,573.0,-1.55,-0.16,-2.13,-0.21
Isaiah Bond,CLE,WR,15,2025,574.0,-1.56,-0.1,-2.1,-0.14
Harrison Bryant,HOU,TE,11,2025,575.0,-1.57,-0.14,-2.29,-0.21
Trevor Etienne,CAR,RB,16,2025,576.0,-1.58,-0.1,-3.14,-0.2
Luke Musgrave,GB,TE,16,2025,577.0,-1.58,-0.1,-2.49,-0.16
Josiah Deguara,ARI,TE,11,2025,578.0,-1.58,-0.14,-2.3,-0.21
Ben Yurosek,MIN,TE,11,2025,579.0,-1.58,-0.14,-2.3,-0.21
Feleipe Franks,ATL,TE,11,2025,580.0,-1.59,-0.14,-2.32,-0.21
Alec Ingold,MIA,RB,16,2025,581.0,-1.6,-0.1,-3.17,-0.2
Adam Trautman,DEN,TE,16,2025,582.0,-1.6,-0.1,-2.52,-0.16
Quintin Morris,JAC,TE,12,2025,583.0,-1.6,-0.13,-2.36,-0.2
Tyler Lockett,LV,WR,16,2025,584.0,-1.6,-0.1,-2.15,-0.13
Kyle Williams,NE,WR,16,2025,585.0,-1.61,-0.1,-2.26,-0.14
Tre Harris,LAC,WR,16,2025,586.0,-1.61,-0.1,-2.15,-0.13
Jeremy Ruckert,NYJ,TE,16,2025,587.0,-1.62,-0.1,-2.53,-0.16
Brandin Cooks,BUF,WR,15,2025,588.0,-1.62,-0.11,-2.19,-0.15
KhaDarel Hodge,ATL,WR,11,2025,589.0,-1.62,-0.15,-2.21,-0.2
Brady Russell,SEA,RB,15,2025,590.0,-1.62,-0.11,-3.17,-0.21
Xavier Smith,LAR,WR,15,2025,591.0,-1.64,-0.11,-2.22,-0.15
Isaiah Williams,NYJ,WR,14,2025,592.0,-1.65,-0.12,-2.24,-0.16
Dylan Laube,LV,RB,16,2025,593.0,-1.67,-0.1,-3.29,-0.21
Charlie Kolar,BAL,TE,16,2025,594.0,-1.67,-0.1,-2.62,-0.16
Julius Chestnut,TEN,RB,16,2025,595.0,-1.67,-0.1,-3.29,-0.21
Anthony Gould,IND,WR,11,2025,596.0,-1.68,-0.15,-2.29,-0.21
Ian Thomas,LV,TE,14,2025,597.0,-1.68,-0.12,-2.53,-0.18
Scotty Miller,PIT,WR,12,2025,598.0,-1.71,-0.14,-2.33,-0.19
Darius Cooper,PHI,WR,12,2025,599.0,-1.71,-0.14,-2.33,-0.19
Gage Larvadain,CLE,WR,12,2025,600.0,-1.72,-0.14,-2.33,-0.19
Noah Gray,KC,TE,15,2025,601.0,-1.72,-0.11,-2.61,-0.17
Reggie Gilliam,BUF,RB,16,2025,602.0,-1.72,-0.11,-3.37,-0.21
Jamal Agnew,FA,WR,11,2025,603.0,-1.72,-0.16,-2.37,-0.22
Jack Westover,NE,RB,16,2025,604.0,-1.73,-0.11,-3.38,-0.21
Ben Sinnott,WAS,TE,15,2025,605.0,-1.74,-0.12,-2.65,-0.18
Tyrell Shavers,BUF,WR,16,2025,606.0,-1.75,-0.11,-2.43,-0.15
Mason Tipton,NO,WR,13,2025,607.0,-1.76,-0.14,-2.39,-0.18
David Sills V,ATL,WR,16,2025,608.0,-1.76,-0.11,-2.41,-0.15
Jack Bech,LV,WR,15,2025,609.0,-1.78,-0.12,-2.39,-0.16
Tylan Wallace,BAL,WR,13,2025,610.0,-1.78,-0.14,-2.43,-0.19
John Bates,WAS,TE,14,2025,611.0,-1.78,-0.13,-2.65,-0.19
Connor Heyward,PIT,TE,15,2025,612.0,-1.78,-0.12,-2.7,-0.18
John FitzPatrick,GB,TE,15,2025,613.0,-1.79,-0.12,-2.71,-0.18
Trent Sherfield Sr.,ARI,WR,12,2025,614.0,-1.8,-0.15,-2.45,-0.2
Luke Farrell,SF,TE,16,2025,615.0,-1.82,-0.11,-2.79,-0.17
Ryan Miller,NYG,WR,13,2025,616.0,-1.82,-0.14,-2.49,-0.19
Alex Bachman,LV,WR,12,2025,617.0,-1.82,-0.15,-2.49,-0.21
Jaylin Lane,WAS,WR,15,2025,618.0,-1.83,-0.12,-2.47,-0.16
Jahan Dotson,PHI,WR,16,2025,619.0,-1.84,-0.12,-2.5,-0.16
David Martin-Robinson,TEN,TE,14,2025,620.0,-1.85,-0.13,-2.74,-0.2
Grant Calcaterra,PHI,TE,14,2025,621.0,-1.86,-0.13,-2.75,-0.2
Dont'e Thornton Jr.,LV,WR,14,2025,622.0,-1.87,-0.13,-2.52,-0.18
Drew Sample,CIN,TE,16,2025,623.0,-1.89,-0.12,-2.87,-0.18
Jack Stoll,NO,TE,15,2025,624.0,-1.89,-0.13,-2.83,-0.19
Mo Alie-Cox,IND,TE,16,2025,625.0,-1.9,-0.12,-2.88,-0.18
Dee Eskridge,MIA,WR,13,2025,626.0,-1.91,-0.15,-2.6,-0.2
Bo Melton,GB,WR,15,2025,627.0,-1.92,-0.13,-2.62,-0.17
Johnny Mundt,JAC,TE,15,2025,628.0,-1.92,-0.13,-2.86,-0.19
Nick Westbrook-Ikhine,MIA,WR,14,2025,629.0,-1.94,-0.14,-2.62,-0.19
Tai Felton,MIN,WR,13,2025,630.0,-1.95,-0.15,-2.66,-0.2
Drew Ogletree,IND,TE,15,2025,631.0,-1.95,-0.13,-2.91,-0.19
Adam Thielen,PIT,WR,15,2025,632.0,-1.96,-0.13,-2.64,-0.18
Luke Schoonmaker,DAL,TE,16,2025,633.0,-1.97,-0.12,-2.95,-0.18
Mitch Tinsley,CIN,WR,16,2025,634.0,-1.98,-0.12,-2.69,-0.17
Brycen Tremayne,CAR,WR,15,2025,635.0,-2.0,-0.13,-2.71,-0.18
Brevyn Spann-Ford,DAL,TE,16,2025,636.0,-2.01,-0.13,-3.01,-0.19
Cameron Latu,PHI,TE,14,2025,637.0,-2.03,-0.15,-2.96,-0.21
Teagan Quitoriano,ATL,TE,14,2025,637.0,-2.03,-0.15,-2.96,-0.21
Jordan Whittington,LAR,WR,16,2025,639.0,-2.04,-0.13,-2.74,-0.17
Ben Skowronek,PIT,WR,15,2025,640.0,-2.06,-0.14,-2.8,-0.19
Nikko Remigio,KC,WR,14,2025,641.0,-2.11,-0.15,-2.87,-0.21
Konata Mumpfield,LAR,WR,16,2025,642.0,-2.13,-0.13,-2.89,-0.18
Gunner Olszewski,NYG,WR,15,2025,643.0,-2.13,-0.14,-2.93,-0.2
Kameron Johnson,TB,WR,16,2025,644.0,-2.14,-0.13,-2.97,-0.19
Blake Whiteheart,CLE,TE,15,2025,645.0,-2.15,-0.14,-3.14,-0.21
Charlie Woerner,ATL,TE,16,2025,646.0,-2.15,-0.13,-3.18,-0.2
Charlie Jones,CIN,WR,14,2025,647.0,-2.16,-0.15,-2.96,-0.21
Robert Tonyan,KC,TE,15,2025,648.0,-2.17,-0.14,-3.16,-0.21
Arian Smith,NYJ,WR,15,2025,649.0,-2.17,-0.14,-2.95,-0.2
Durham Smythe,CHI,TE,16,2025,650.0,-2.24,-0.14,-3.28,-0.21
Kylen Granson,PHI,TE,16,2025,651.0,-2.28,-0.14,-3.33,-0.21
Skyy Moore,SF,WR,16,2025,652.0,-2.28,-0.14,-3.1,-0.19
Payne Durham,TB,TE,16,2025,653.0,-2.29,-0.14,-3.35,-0.21
Chris Manhertz,NYG,TE,16,2025,654.0,-2.3,-0.14,-3.36,-0.21
LaJohntay Wester,BAL,WR,15,2025,655.0,-2.34,-0.16,-3.21,-0.21
Devin Duvernay,CHI,WR,16,2025,656.0,-2.42,-0.15,-3.3,-0.21
Myles Price,MIN,WR,16,2025,657.0,-2.55,-0.16,-3.51,-0.22
