player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Daniel Jones,IND,QB,13,2025,67.0,1.24,0.1,2.44,0.19,,
Tucker Kraft,GB,TE,8,2025,68.0,1.18,0.15,0.9,0.11,0.83,0.1
Rhamondre Stevenson,NE,RB,13,2025,69.0,1.18,0.09,0.38,0.03,0.29,0.02
Tyler Warren,IND,TE,16,2025,70.0,1.16,0.07,0.68,0.04,0.62,0.04
Stefon Diggs,NE,WR,16,2025,71.0,1.15,0.07,1.21,0.08,1.12,0.07
Michael Wilson,ARI,WR,16,2025,72.0,1.12,0.07,0.94,0.06,0.78,0.05
Michael Pittman Jr.,IND,WR,16,2025,73.0,1.08,0.07,1.12,0.07,1.01,0.06
Tetairoa McMillan,CAR,WR,16,2025,74.0,1.05,0.07,1.1,0.07,1.01,0.06
Baker Mayfield,TB,QB,16,2025,75.0,1.02,0.06,2.51,0.16,,
Jacoby Brissett,ARI,QB,13,2025,76.0,1.02,0.08,2.16,0.17,,
J.K. Dobbins,DEN,RB,10,2025,77.0,1.01,0.1,0.49,0.05,0.46,0.05
David Montgomery,DET,RB,16,2025,78.0,0.98,0.06,-0.0,-0.0,-0.1,-0.01
Jaylen Waddle,MIA,WR,16,2025,79.0,0.98,0.06,1.03,0.06,0.94,0.06
Juwan Johnson,NO,TE,16,2025,80.0,0.97,0.06,0.49,0.03,0.42,0.03
DK Metcalf,PIT,WR,15,2025,81.0,0.97,0.06,1.06,0.07,0.99,0.07
Quentin Johnston,LAC,WR,14,2025,82.0,0.95,0.07,0.95,0.07,0.86,0.06
Lamar Jackson,BAL,QB,12,2025,83.0,0.94,0.08,1.81,0.15,,
Deebo Samuel Sr.,WAS,WR,15,2025,84.0,0.94,0.06,0.98,0.07,0.9,0.06
DeVonta Smith,PHI,WR,16,2025,85.0,0.94,0.06,0.92,0.06,0.82,0.05
Emeka Egbuka,TB,WR,16,2025,86.0,0.93,0.06,0.9,0.06,0.78,0.05
Kimani Vidal,LAC,RB,12,2025,87.0,0.88,0.07,0.09,0.01,-0.01,-0.0
Hunter Henry,NE,TE,16,2025,88.0,0.88,0.06,0.33,0.02,0.22,0.01
Christian Watson,GB,WR,10,2025,89.0,0.86,0.09,0.89,0.09,0.82,0.08
Dalton Schultz,HOU,TE,16,2025,90.0,0.84,0.05,0.33,0.02,0.25,0.02
Woody Marks,HOU,RB,15,2025,91.0,0.84,0.06,-0.12,-0.01,-0.23,-0.02
Garrett Wilson,NYJ,WR,7,2025,92.0,0.83,0.12,0.82,0.12,0.76,0.11
Tyrone Tracy Jr.,NYG,RB,14,2025,93.0,0.83,0.06,-0.03,-0.0,-0.12,-0.01
