player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Treyton Welch,NO,TE,2,2025,269.0,-0.32,-0.16,-0.42,-0.21,-0.45,-0.23
E.J. Jenkins,PHI,TE,2,2025,269.0,-0.32,-0.16,-0.42,-0.21,-0.45,-0.23
Cam Akers,SEA,RB,3,2025,274.0,-0.32,-0.11,-0.6,-0.2,-0.64,-0.21
Tua Tagovailoa,MIA,QB,14,2025,275.0,-0.32,-0.02,0.63,0.05,,
Spencer Rattler,NO,QB,9,2025,276.0,-0.33,-0.04,0.32,0.04,,
Ricky White III,SEA,WR,2,2025,277.0,-0.33,-0.16,-0.42,-0.21,-0.45,-0.23
Coleman Owen,IND,WR,2,2025,277.0,-0.33,-0.16,-0.42,-0.21,-0.45,-0.23
Steven Sims Jr.,ARI,WR,2,2025,277.0,-0.33,-0.16,-0.42,-0.21,-0.45,-0.23
Dalevon Campbell,LAC,WR,2,2025,277.0,-0.33,-0.16,-0.42,-0.21,-0.45,-0.23
Jackson Meeks,DET,WR,2,2025,277.0,-0.33,-0.16,-0.42,-0.21,-0.45,-0.23
Kaden Davis,CLE,WR,2,2025,277.0,-0.33,-0.16,-0.42,-0.21,-0.45,-0.23
Hunter Renfrow,CAR,WR,6,2025,283.0,-0.33,-0.05,-0.48,-0.08,-0.55,-0.09
Russell Wilson,NYG,QB,6,2025,284.0,-0.34,-0.06,-0.18,-0.03,,
Owen Wright,TB,RB,3,2025,285.0,-0.34,-0.11,-0.62,-0.21,-0.67,-0.22
Robbie Chosen,WAS,WR,3,2025,286.0,-0.34,-0.11,-0.42,-0.14,-0.45,-0.15
Eric Gray,NYG,RB,3,2025,287.0,-0.35,-0.12,-0.63,-0.21,-0.68,-0.23
Trey Sermon,PIT,RB,3,2025,287.0,-0.35,-0.12,-0.63,-0.21,-0.68,-0.23
Chase Edmonds,WAS,RB,3,2025,287.0,-0.35,-0.12,-0.63,-0.21,-0.68,-0.23
Jaydon Blue,DAL,RB,4,2025,290.0,-0.35,-0.09,-0.69,-0.17,-0.74,-0.18
Nyheim Miller-Hines,NO,RB,3,2025,291.0,-0.35,-0.12,-0.63,-0.21,-0.68,-0.23
Mecole Hardman Jr.,BUF,WR,2,2025,292.0,-0.35,-0.17,-0.45,-0.23,-0.49,-0.25
Josh Downs,IND,WR,15,2025,293.0,-0.35,-0.02,-0.4,-0.03,-0.48,-0.03
Rashid Shaheed,SEA,WR,17,2025,294.0,-0.35,-0.02,-0.44,-0.03,-0.54,-0.03
Zamir White,LV,RB,4,2025,295.0,-0.36,-0.09,-0.7,-0.17,-0.75,-0.19
Greg Dulcich,MIA,TE,9,2025,296.0,-0.36,-0.04,-0.69,-0.08,-0.76,-0.08
Geno Smith,LV,QB,15,2025,297.0,-0.36,-0.02,0.67,0.04,,
Jaylen Wright,MIA,RB,10,2025,298.0,-0.37,-0.04,-1.15,-0.11,-1.26,-0.13
Calvin Ridley,TEN,WR,7,2025,299.0,-0.37,-0.05,-0.46,-0.07,-0.52,-0.07
Keon Coleman,BUF,WR,12,2025,300.0,-0.38,-0.03,-0.51,-0.04,-0.6,-0.05
Marcus Mariota,WAS,QB,12,2025,301.0,-0.38,-0.03,0.32,0.03,,
Anthony Richardson Sr.,IND,QB,2,2025,302.0,-0.39,-0.19,-0.42,-0.21,,
Kedon Slovis,ARI,QB,2,2025,303.0,-0.39,-0.19,-0.42,-0.21,,
Mason Taylor,NYJ,TE,13,2025,304.0,-0.4,-0.03,-0.87,-0.07,-0.97,-0.07
Tyler Huntley,BAL,QB,5,2025,305.0,-0.41,-0.08,-0.15,-0.03,,
Dameon Pierce,KC,RB,4,2025,306.0,-0.43,-0.11,-0.79,-0.2,-0.85,-0.21
DeeJay Dallas,JAC,RB,4,2025,307.0,-0.43,-0.11,-0.8,-0.2,-0.86,-0.22
Samaje Perine,CIN,RB,14,2025,308.0,-0.43,-0.03,-1.47,-0.11,-1.6,-0.11
Jaleel McLaughlin,DEN,RB,7,2025,309.0,-0.43,-0.06,-0.98,-0.14,-1.06,-0.15
Terrell Jennings,NE,RB,6,2025,310.0,-0.44,-0.07,-0.94,-0.16,-1.02,-0.17
Tay Martin,FA,WR,3,2025,311.0,-0.44,-0.15,-0.55,-0.18,-0.59,-0.2
Khalil Herbert,NYJ,RB,4,2025,312.0,-0.45,-0.11,-0.82,-0.21,-0.89,-0.22
Shedrick Jackson,LV,WR,4,2025,313.0,-0.45,-0.11,-0.56,-0.14,-0.6,-0.15
Jalen Coker,CAR,WR,10,2025,314.0,-0.46,-0.05,-0.55,-0.06,-0.62,-0.06
Jared Wiley,KC,TE,3,2025,315.0,-0.46,-0.15,-0.6,-0.2,-0.65,-0.22
Michael Bandy,DEN,WR,4,2025,316.0,-0.46,-0.12,-0.57,-0.14,-0.62,-0.15
Malik Davis,DAL,RB,10,2025,317.0,-0.46,-0.05,-1.24,-0.12,-1.34,-0.13
Trayveon Williams,CLE,RB,6,2025,318.0,-0.47,-0.08,-0.97,-0.16,-1.05,-0.17
Tyler Higbee,LAR,TE,9,2025,319.0,-0.47,-0.05,-0.81,-0.09,-0.89,-0.1
Cade Otton,TB,TE,15,2025,320.0,-0.47,-0.03,-1.02,-0.07,-1.13,-0.08
Nick Vannett,LAR,TE,3,2025,321.0,-0.48,-0.16,-0.63,-0.21,-0.68,-0.23
Ko Kieft,TB,TE,3,2025,321.0,-0.48,-0.16,-0.63,-0.21,-0.68,-0.23
Giovanni Ricci,DET,TE,3,2025,321.0,-0.48,-0.16,-0.63,-0.21,-0.68,-0.23
James Winchester,KC,TE,3,2025,321.0,-0.48,-0.16,-0.63,-0.21,-0.68,-0.23
Matt Orzech,GB,TE,3,2025,321.0,-0.48,-0.16,-0.63,-0.21,-0.68,-0.23
Travis Vokolek,ARI,TE,3,2025,321.0,-0.48,-0.16,-0.63,-0.21,-0.68,-0.23
Noah Brown,WAS,WR,4,2025,327.0,-0.48,-0.12,-0.59,-0.15,-0.63,-0.16
Chris Blair,ATL,WR,3,2025,328.0,-0.49,-0.16,-0.63,-0.21,-0.68,-0.23
Malik Turner,SF,WR,3,2025,328.0,-0.49,-0.16,-0.63,-0.21,-0.68,-0.23
Xavier Worthy,KC,WR,14,2025,330.0,-0.5,-0.04,-0.57,-0.04,-0.65,-0.05
Pat Freiermuth,PIT,TE,16,2025,331.0,-0.5,-0.03,-1.12,-0.07,-1.27,-0.08
Ryan Flournoy,DAL,WR,14,2025,332.0,-0.51,-0.04,-0.72,-0.05,-0.85,-0.06
Evan Hull,NO,RB,5,2025,333.0,-0.51,-0.1,-0.95,-0.19,-1.03,-0.21
Braxton Berrios,HOU,WR,4,2025,334.0,-0.51,-0.13,-0.64,-0.16,-0.69,-0.17
Keaton Mitchell,BAL,RB,12,2025,335.0,-0.51,-0.04,-1.4,-0.12,-1.51,-0.13
Ty Johnson,BUF,RB,16,2025,336.0,-0.52,-0.03,-1.68,-0.11,-1.82,-0.11
Josh Reynolds,NYJ,WR,5,2025,337.0,-0.52,-0.1,-0.63,-0.13,-0.68,-0.14
Emari Demercado,ARI,RB,12,2025,338.0,-0.52,-0.04,-1.44,-0.12,-1.56,-0.13
Joe Milton III,DAL,QB,3,2025,339.0,-0.53,-0.18,-0.52,-0.17,,
Zavier Scott,MIN,RB,10,2025,340.0,-0.53,-0.05,-1.33,-0.13,-1.45,-0.14
Trey Lance,LAC,QB,3,2025,341.0,-0.54,-0.18,-0.53,-0.18,,
Isaiah Hodgins,NYG,WR,6,2025,342.0,-0.54,-0.09,-0.67,-0.11,-0.73,-0.12
James Mitchell,CAR,TE,4,2025,343.0,-0.54,-0.14,-0.73,-0.18,-0.79,-0.2
Shane Zylstra,DET,TE,4,2025,344.0,-0.55,-0.14,-0.74,-0.19,-0.8,-0.2
Tyson Bagent,CHI,QB,3,2025,345.0,-0.56,-0.19,-0.58,-0.19,,
D'Ernest Johnson,NE,RB,5,2025,346.0,-0.56,-0.11,-1.03,-0.21,-1.11,-0.22
Mitchell Trubisky,BUF,QB,3,2025,347.0,-0.57,-0.19,-0.59,-0.2,,
Tanner McKee,PHI,QB,3,2025,348.0,-0.57,-0.19,-0.6,-0.2,,
Kalel Mullings,TEN,RB,5,2025,349.0,-0.57,-0.11,-1.04,-0.21,-1.12,-0.22
Zach Wilson,MIA,QB,3,2025,350.0,-0.57,-0.19,-0.6,-0.2,,
Brady Cook,NYJ,QB,4,2025,351.0,-0.57,-0.14,-0.45,-0.11,,
Joshua Dobbs,NE,QB,3,2025,352.0,-0.57,-0.19,-0.61,-0.2,,
Logan Woodside,ARI,QB,3,2025,353.0,-0.58,-0.19,-0.63,-0.21,,
Lucas Krull,DEN,TE,4,2025,354.0,-0.58,-0.15,-0.78,-0.19,-0.84,-0.21
A.J. Dillon,PHI,RB,6,2025,355.0,-0.59,-0.1,-1.12,-0.19,-1.2,-0.2
Mack Hollins,NE,WR,15,2025,356.0,-0.59,-0.04,-0.71,-0.05,-0.8,-0.05
Cam Ward,TEN,QB,16,2025,357.0,-0.59,-0.04,0.59,0.04,,
Evan Engram,DEN,TE,15,2025,358.0,-0.6,-0.04,-1.14,-0.08,-1.25,-0.08
Gabe Davis,BUF,WR,5,2025,359.0,-0.6,-0.12,-0.74,-0.15,-0.79,-0.16
Mike Gesicki,CIN,TE,12,2025,360.0,-0.61,-0.05,-1.08,-0.09,-1.2,-0.1
Keleki Latu,BUF,TE,4,2025,361.0,-0.62,-0.15,-0.81,-0.2,-0.88,-0.22
Jayden Higgins,HOU,WR,16,2025,362.0,-0.62,-0.04,-0.76,-0.05,-0.87,-0.05
David Moore,CAR,WR,4,2025,363.0,-0.62,-0.16,-0.79,-0.2,-0.85,-0.21
Michael Mayer,LV,TE,12,2025,364.0,-0.62,-0.05,-1.1,-0.09,-1.21,-0.1
Tim Jones,JAC,WR,4,2025,365.0,-0.63,-0.16,-0.79,-0.2,-0.86,-0.21
Ronnie Rivers,LAR,RB,6,2025,366.0,-0.63,-0.1,-1.17,-0.2,-1.26,-0.21
Hayden Rucci,MIA,TE,4,2025,367.0,-0.64,-0.16,-0.84,-0.21,-0.91,-0.23
Jake Tonges,SF,TE,16,2025,368.0,-0.64,-0.04,-1.28,-0.08,-1.44,-0.09
Velus Jones Jr.,SEA,RB,6,2025,369.0,-0.65,-0.11,-1.2,-0.2,-1.29,-0.22
Jalen Cropper,DAL,WR,4,2025,370.0,-0.66,-0.16,-0.84,-0.21,-0.91,-0.23
Jordan Clark,NYJ,WR,4,2025,370.0,-0.66,-0.16,-0.84,-0.21,-0.91,-0.23
Quinton Bell,MIA,WR,4,2025,370.0,-0.66,-0.16,-0.84,-0.21,-0.91,-0.23
Riley Leonard,IND,QB,4,2025,373.0,-0.66,-0.17,-0.65,-0.16,,
Isaiah Davis,NYJ,RB,16,2025,374.0,-0.67,-0.04,-1.9,-0.12,-2.07,-0.13
Roschon Johnson,CHI,RB,6,2025,375.0,-0.67,-0.11,-1.23,-0.2,-1.33,-0.22
Josh Johnson,WAS,QB,4,2025,376.0,-0.67,-0.17,-0.65,-0.16,,
Curtis Samuel,BUF,WR,6,2025,377.0,-0.67,-0.11,-0.83,-0.14,-0.9,-0.15
Luke McCaffrey,WAS,WR,9,2025,378.0,-0.67,-0.07,-0.83,-0.09,-0.91,-0.1
Cooper Kupp,SEA,WR,15,2025,379.0,-0.68,-0.05,-0.78,-0.05,-0.87,-0.06
Andy Dalton,CAR,QB,4,2025,380.0,-0.68,-0.17,-0.65,-0.16,,
Craig Reynolds,NE,RB,6,2025,381.0,-0.69,-0.11,-1.25,-0.21,-1.35,-0.23
Jerry Jeudy,CLE,WR,16,2025,382.0,-0.7,-0.04,-0.85,-0.05,-0.97,-0.06
Tom Kennedy,DET,WR,5,2025,383.0,-0.71,-0.14,-0.89,-0.18,-0.96,-0.19
Greg Dortch,ARI,WR,12,2025,384.0,-0.71,-0.06,-0.9,-0.07,-1.0,-0.08
Elic Ayomanor,TEN,WR,15,2025,385.0,-0.71,-0.05,-0.84,-0.06,-0.93,-0.06
Tip Reiman,ARI,TE,5,2025,386.0,-0.72,-0.14,-0.96,-0.19,-1.04,-0.21
Kevin Austin Jr.,NO,WR,7,2025,387.0,-0.72,-0.1,-0.92,-0.13,-1.0,-0.14
Jeremy McNichols,WAS,RB,16,2025,388.0,-0.73,-0.05,-1.95,-0.12,-2.11,-0.13
Jalen Brooks,ARI,WR,5,2025,389.0,-0.74,-0.15,-0.93,-0.19,-1.0,-0.2
Moliki Matavao,NO,TE,5,2025,390.0,-0.75,-0.15,-0.99,-0.2,-1.07,-0.21
Jahdae Walker,CHI,WR,6,2025,391.0,-0.75,-0.13,-0.94,-0.16,-1.02,-0.17
Teddy Bridgewater,TB,QB,4,2025,392.0,-0.75,-0.19,-0.79,-0.2,,
Darius Slayton,NYG,WR,13,2025,393.0,-0.76,-0.06,-0.88,-0.07,-0.96,-0.07
Cam Grandy,CIN,TE,5,2025,394.0,-0.76,-0.15,-1.0,-0.2,-1.08,-0.22
Chimere Dike,TEN,WR,16,2025,395.0,-0.76,-0.05,-0.97,-0.06,-1.11,-0.07
Anthony Firkser,DET,TE,6,2025,396.0,-0.76,-0.13,-1.04,-0.17,-1.12,-0.19
Cooper Rush,BAL,QB,4,2025,397.0,-0.76,-0.19,-0.81,-0.2,,
Jordan Watkins,SF,WR,5,2025,398.0,-0.76,-0.15,-0.96,-0.19,-1.04,-0.21
Treylon Burks,WAS,WR,7,2025,399.0,-0.77,-0.11,-0.95,-0.14,-1.02,-0.15
Jonathan Mingo,DAL,WR,5,2025,400.0,-0.78,-0.16,-0.98,-0.2,-1.06,-0.21
Jelani Woods,NYJ,TE,5,2025,401.0,-0.78,-0.16,-1.02,-0.2,-1.11,-0.22
Gardner Minshew II,KC,QB,4,2025,402.0,-0.78,-0.19,-0.84,-0.21,,
Kyle Allen,DET,QB,4,2025,403.0,-0.78,-0.2,-0.85,-0.21,,
Nick Mullens,JAC,QB,4,2025,404.0,-0.78,-0.2,-0.85,-0.21,,
Jimmy Garoppolo,LAR,QB,4,2025,405.0,-0.78,-0.2,-0.85,-0.21,,
Ray-Ray McCloud III,FA,WR,6,2025,406.0,-0.79,-0.13,-0.98,-0.16,-1.06,-0.18
Andre Baccellia,ARI,WR,5,2025,407.0,-0.79,-0.16,-1.0,-0.2,-1.08,-0.22
Jalen Milroe,SEA,QB,4,2025,408.0,-0.79,-0.2,-0.87,-0.22,,
Mason Rudolph,PIT,QB,5,2025,409.0,-0.79,-0.16,-0.73,-0.15,,
Marcedes Lewis,DEN,TE,5,2025,410.0,-0.8,-0.16,-1.05,-0.21,-1.13,-0.23
Justin Shorter,LV,TE,5,2025,410.0,-0.8,-0.16,-1.05,-0.21,-1.13,-0.23
Mitchell Fraboni,DEN,TE,5,2025,410.0,-0.8,-0.16,-1.05,-0.21,-1.13,-0.23
Noah Fant,CIN,TE,14,2025,413.0,-0.8,-0.06,-1.34,-0.1,-1.46,-0.1
Sione Vaki,DET,RB,7,2025,414.0,-0.8,-0.11,-1.46,-0.21,-1.58,-0.23
Jakob Johnson,HOU,RB,7,2025,415.0,-0.81,-0.12,-1.47,-0.21,-1.59,-0.23
Travis Homer,CHI,RB,7,2025,416.0,-0.81,-0.12,-1.47,-0.21,-1.59,-0.23
Dawson Knox,BUF,TE,16,2025,417.0,-0.81,-0.05,-1.43,-0.09,-1.57,-0.1
Jerome Ford,CLE,RB,13,2025,418.0,-0.82,-0.06,-1.85,-0.14,-1.99,-0.15
Tahj Washington,MIA,WR,5,2025,419.0,-0.82,-0.16,-1.05,-0.21,-1.13,-0.23
DeAndre Carter,CLE,WR,5,2025,420.0,-0.82,-0.16,-1.05,-0.21,-1.13,-0.23
Dalen Cambre,NYG,WR,5,2025,420.0,-0.82,-0.16,-1.05,-0.21,-1.13,-0.23
Britain Covey,PHI,WR,5,2025,420.0,-0.82,-0.16,-1.05,-0.21,-1.13,-0.23
Jason Brownlee,KC,WR,5,2025,420.0,-0.82,-0.16,-1.05,-0.21,-1.13,-0.23
DJ Giddens,IND,RB,8,2025,424.0,-0.83,-0.1,-1.56,-0.19,-1.68,-0.21
Xavier Legette,CAR,WR,14,2025,425.0,-0.83,-0.06,-1.12,-0.08,-1.27,-0.09
Zay Jones,ARI,WR,8,2025,426.0,-0.84,-0.1,-1.04,-0.13,-1.13,-0.14
Gunnar Helm,TEN,TE,16,2025,427.0,-0.85,-0.05,-1.45,-0.09,-1.57,-0.1
Hunter Long,JAC,TE,9,2025,428.0,-0.85,-0.09,-1.23,-0.14,-1.32,-0.15
Sterling Shepard,TB,WR,13,2025,429.0,-0.87,-0.07,-1.01,-0.08,-1.1,-0.08
Kenny Pickett,LV,QB,5,2025,430.0,-0.87,-0.17,-0.86,-0.17,,
Kendrick Bourne,SF,WR,15,2025,431.0,-0.88,-0.06,-1.17,-0.08,-1.32,-0.09
Austin Trammell,JAC,WR,6,2025,432.0,-0.88,-0.15,-1.11,-0.19,-1.2,-0.2
Brian Robinson Jr.,SF,RB,16,2025,433.0,-0.88,-0.06,-2.12,-0.13,-2.28,-0.14
Josh Whyle,GB,TE,7,2025,434.0,-0.89,-0.13,-1.21,-0.17,-1.3,-0.19
Tez Johnson,TB,WR,15,2025,435.0,-0.9,-0.06,-1.17,-0.08,-1.32,-0.09
Deven Thompkins,ATL,WR,6,2025,436.0,-0.9,-0.15,-1.14,-0.19,-1.23,-0.2
Ameer Abdullah,IND,RB,12,2025,437.0,-0.91,-0.08,-1.9,-0.16,-2.04,-0.17
George Holani,SEA,RB,10,2025,438.0,-0.92,-0.09,-1.8,-0.18,-1.94,-0.19
Isaac Guerendo,SF,RB,8,2025,439.0,-0.92,-0.12,-1.68,-0.21,-1.81,-0.23
Pharaoh Brown,ARI,TE,6,2025,440.0,-0.93,-0.15,-1.22,-0.2,-1.32,-0.22
Lil'Jordan Humphrey,DEN,WR,9,2025,441.0,-0.93,-0.1,-1.16,-0.13,-1.25,-0.14
Casey Washington,ATL,WR,7,2025,442.0,-0.94,-0.13,-1.17,-0.17,-1.26,-0.18
Brashard Smith,KC,RB,16,2025,443.0,-0.94,-0.06,-2.21,-0.14,-2.39,-0.15
Efton Chism III,NE,WR,7,2025,444.0,-0.94,-0.13,-1.2,-0.17,-1.3,-0.19
Adonai Mitchell,NYJ,WR,15,2025,445.0,-0.94,-0.06,-1.25,-0.08,-1.41,-0.09
Tyquan Thornton,KC,WR,14,2025,446.0,-0.95,-0.07,-1.19,-0.08,-1.31,-0.09
Raheem Mostert,LV,RB,12,2025,447.0,-0.95,-0.08,-1.95,-0.16,-2.1,-0.17
Brayden Willis,SF,TE,6,2025,448.0,-0.96,-0.16,-1.26,-0.21,-1.36,-0.23
Dillon Gabriel,CLE,QB,10,2025,449.0,-0.96,-0.1,-0.55,-0.05,,
Will Dissly,LAC,TE,8,2025,450.0,-0.96,-0.12,-1.31,-0.16,-1.41,-0.18
KaVontae Turpin,DAL,WR,14,2025,451.0,-0.97,-0.07,-1.17,-0.08,-1.28,-0.09
Ollie Gordon II,MIA,RB,16,2025,452.0,-0.97,-0.06,-2.26,-0.14,-2.45,-0.15
Nate Adkins,DEN,TE,8,2025,453.0,-0.97,-0.12,-1.33,-0.17,-1.44,-0.18
Cade Stover,HOU,TE,8,2025,454.0,-0.97,-0.12,-1.33,-0.17,-1.43,-0.18
Drew Lock,SEA,QB,5,2025,455.0,-0.97,-0.19,-1.05,-0.21,,
Calvin Austin III,PIT,WR,13,2025,456.0,-0.97,-0.07,-1.2,-0.09,-1.32,-0.1
Jalen Royals,KC,WR,6,2025,457.0,-0.99,-0.16,-1.26,-0.21,-1.36,-0.23
Tutu Atwell,LAR,WR,9,2025,458.0,-0.99,-0.11,-1.27,-0.14,-1.38,-0.15
Kene Nwangwu,NYJ,RB,9,2025,459.0,-1.0,-0.11,-1.83,-0.2,-1.98,-0.22
Xavier Gipson,NYG,WR,6,2025,460.0,-1.0,-0.17,-1.28,-0.21,-1.38,-0.23
Devaughn Vele,NO,WR,13,2025,461.0,-1.0,-0.08,-1.3,-0.1,-1.44,-0.11
Jonnu Smith,PIT,TE,16,2025,462.0,-1.0,-0.06,-1.62,-0.1,-1.75,-0.11
Kyle Juszczyk,SF,RB,16,2025,463.0,-1.0,-0.06,-2.26,-0.14,-2.43,-0.15
Isaiah Likely,BAL,TE,13,2025,464.0,-1.02,-0.08,-1.55,-0.12,-1.68,-0.13
Dante Pettis,NO,WR,7,2025,465.0,-1.03,-0.15,-1.3,-0.19,-1.4,-0.2
Dontayvion Wicks,GB,WR,14,2025,466.0,-1.03,-0.07,-1.36,-0.1,-1.52,-0.11
C.J. Ham,MIN,RB,10,2025,467.0,-1.04,-0.1,-1.94,-0.19,-2.1,-0.21
Kaleb Johnson,PIT,RB,10,2025,468.0,-1.04,-0.1,-1.94,-0.19,-2.09,-0.21
Jalen Nailor,MIN,WR,16,2025,469.0,-1.06,-0.07,-1.4,-0.09,-1.56,-0.1
Stone Smartt,NYJ,TE,8,2025,470.0,-1.06,-0.13,-1.43,-0.18,-1.54,-0.19
Tanner Hudson,CIN,TE,12,2025,471.0,-1.06,-0.09,-1.55,-0.13,-1.67,-0.14
Joshua Palmer,BUF,WR,11,2025,472.0,-1.06,-0.1,-1.28,-0.12,-1.37,-0.12
Elijah Moore,DEN,WR,9,2025,473.0,-1.06,-0.12,-1.31,-0.15,-1.41,-0.16
Christian Kirk,HOU,WR,12,2025,474.0,-1.06,-0.09,-1.31,-0.11,-1.43,-0.12
Marvin Mims Jr.,DEN,WR,15,2025,475.0,-1.06,-0.07,-1.35,-0.09,-1.49,-0.1
Terrance Ferguson,LAR,TE,13,2025,476.0,-1.07,-0.08,-1.61,-0.12,-1.75,-0.13
Matthew Golden,GB,WR,13,2025,477.0,-1.07,-0.08,-1.3,-0.1,-1.41,-0.11
Cedric Tillman,CLE,WR,12,2025,478.0,-1.07,-0.09,-1.33,-0.11,-1.44,-0.12
Cole Kmet,CHI,TE,15,2025,479.0,-1.07,-0.07,-1.66,-0.11,-1.79,-0.12
Brock Wright,DET,TE,11,2025,480.0,-1.08,-0.1,-1.54,-0.14,-1.67,-0.15
Ja'Tavion Sanders,CAR,TE,13,2025,481.0,-1.09,-0.08,-1.62,-0.12,-1.75,-0.13
Tyler Goodson,IND,RB,10,2025,482.0,-1.09,-0.11,-2.01,-0.2,-2.17,-0.22
Darnell Mooney,ATL,WR,14,2025,483.0,-1.11,-0.08,-1.34,-0.1,-1.45,-0.1
Olamide Zaccheaus,CHI,WR,15,2025,484.0,-1.12,-0.07,-1.36,-0.09,-1.49,-0.1
Max Brosmer,MIN,QB,6,2025,485.0,-1.13,-0.19,-1.18,-0.2,,
Malik Washington,MIA,WR,16,2025,486.0,-1.13,-0.07,-1.31,-0.08,-1.42,-0.09
Xavier Weaver,ARI,WR,8,2025,487.0,-1.13,-0.14,-1.42,-0.18,-1.53,-0.19
Tanner Conner,NYG,TE,9,2025,488.0,-1.14,-0.13,-1.55,-0.17,-1.66,-0.18
Marquez Valdes-Scantling,PIT,WR,9,2025,489.0,-1.14,-0.13,-1.42,-0.16,-1.53,-0.17
DeMario Douglas,NE,WR,16,2025,490.0,-1.14,-0.07,-1.43,-0.09,-1.58,-0.1
Simi Fehoko,ARI,WR,7,2025,491.0,-1.15,-0.16,-1.47,-0.21,-1.59,-0.23
Tank Bigsby,PHI,RB,15,2025,492.0,-1.15,-0.08,-2.41,-0.16,-2.6,-0.17
Brenden Bates,CLE,TE,8,2025,493.0,-1.16,-0.14,-1.54,-0.19,-1.66,-0.21
James Proche II,TEN,WR,8,2025,494.0,-1.16,-0.14,-1.46,-0.18,-1.58,-0.2
Dylan Drummond,ATL,WR,8,2025,495.0,-1.16,-0.15,-1.46,-0.18,-1.58,-0.2
Tyler Conklin,LAC,TE,9,2025,496.0,-1.17,-0.13,-1.58,-0.18,-1.7,-0.19
Cody White,SEA,WR,9,2025,497.0,-1.18,-0.13,-1.5,-0.17,-1.63,-0.18
Jalin Hyatt,NYG,WR,8,2025,498.0,-1.2,-0.15,-1.52,-0.19,-1.63,-0.2
Andrei Iosivas,CIN,WR,16,2025,499.0,-1.2,-0.08,-1.49,-0.09,-1.64,-0.1
Jamari Thrash,CLE,WR,9,2025,500.0,-1.21,-0.13,-1.5,-0.17,-1.61,-0.18
Devontez Walker,BAL,WR,10,2025,501.0,-1.21,-0.12,-1.55,-0.16,-1.69,-0.17
Zaire Mitchell-Paden,NO,TE,8,2025,502.0,-1.22,-0.15,-1.61,-0.2,-1.74,-0.22
Dareke Young,SEA,WR,8,2025,503.0,-1.22,-0.15,-1.55,-0.19,-1.67,-0.21
Ben Sims,MIN,TE,8,2025,504.0,-1.23,-0.15,-1.62,-0.2,-1.75,-0.22
Rasheen Ali,BAL,RB,14,2025,505.0,-1.24,-0.09,-2.45,-0.18,-2.65,-0.19
Pat Bryant,DEN,WR,14,2025,506.0,-1.24,-0.09,-1.52,-0.11,-1.65,-0.12
Hassan Haskins,LAC,RB,12,2025,507.0,-1.25,-0.1,-2.34,-0.19,-2.52,-0.21
Darnell Washington,PIT,TE,16,2025,508.0,-1.26,-0.08,-1.89,-0.12,-2.04,-0.13
Jacob Saylors,DET,RB,11,2025,509.0,-1.26,-0.11,-2.29,-0.21,-2.47,-0.22
Xavier Hutchinson,HOU,WR,16,2025,510.0,-1.26,-0.08,-1.57,-0.1,-1.72,-0.11
Patrick Ricard,BAL,RB,11,2025,511.0,-1.27,-0.12,-2.3,-0.21,-2.49,-0.23
Robbie Ouzts,SEA,RB,11,2025,512.0,-1.27,-0.12,-2.31,-0.21,-2.49,-0.23
Josh Oliver,MIN,TE,14,2025,513.0,-1.27,-0.09,-1.87,-0.13,-2.04,-0.15
Jalen Tolbert,DAL,WR,12,2025,514.0,-1.29,-0.11,-1.59,-0.13,-1.73,-0.14
Rashod Bateman,BAL,WR,13,2025,515.0,-1.29,-0.1,-1.61,-0.12,-1.75,-0.13
Tyler Badie,DEN,RB,15,2025,516.0,-1.3,-0.09,-2.57,-0.17,-2.76,-0.18
Tahj Brooks,CIN,RB,12,2025,517.0,-1.3,-0.11,-2.4,-0.2,-2.59,-0.22
KeAndre Lambert-Smith,LAC,WR,9,2025,518.0,-1.31,-0.15,-1.65,-0.18,-1.78,-0.2
Dominic Lovett,DET,WR,8,2025,519.0,-1.31,-0.16,-1.68,-0.21,-1.81,-0.23
Laquon Treadwell,IND,WR,8,2025,519.0,-1.31,-0.16,-1.68,-0.21,-1.81,-0.23
Hunter Luepke,DAL,RB,16,2025,521.0,-1.32,-0.08,-2.67,-0.17,-2.88,-0.18
Allen Lazard,FA,WR,10,2025,522.0,-1.32,-0.13,-1.65,-0.16,-1.78,-0.18
Ray Davis,BUF,RB,16,2025,523.0,-1.35,-0.08,-2.71,-0.17,-2.92,-0.18
John Metchie III,NYJ,WR,15,2025,524.0,-1.36,-0.09,-1.71,-0.11,-1.88,-0.13
Tyler Johnson,NYJ,WR,12,2025,525.0,-1.36,-0.11,-1.72,-0.14,-1.86,-0.16
Cedrick Wilson Jr.,MIA,WR,9,2025,526.0,-1.36,-0.15,-1.72,-0.19,-1.85,-0.21
Austin Hooper,NE,TE,15,2025,527.0,-1.36,-0.09,-1.98,-0.13,-2.13,-0.14
British Brooks,HOU,RB,12,2025,528.0,-1.37,-0.11,-2.49,-0.21,-2.69,-0.22
Mason Kinsey,TEN,WR,9,2025,529.0,-1.39,-0.15,-1.76,-0.2,-1.9,-0.21
Isaac TeSlaa,DET,WR,16,2025,530.0,-1.4,-0.09,-1.76,-0.11,-1.93,-0.12
Demarcus Robinson,SF,WR,13,2025,531.0,-1.4,-0.11,-1.71,-0.13,-1.84,-0.14
