player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Austin Hooper,NE,TE,15,2025,483.0,-0.89,-0.06,-1.77,-0.12
Matthew Golden,GB,WR,13,2025,484.0,-0.91,-0.07,-1.32,-0.1
Dillon Gabriel,CLE,QB,10,2025,485.0,-0.92,-0.09,,
Zaire Mitchell-Paden,NO,TE,8,2025,486.0,-0.92,-0.11,-1.44,-0.18
Marquez Valdes-Scantling,PIT,WR,9,2025,487.0,-0.92,-0.1,-1.28,-0.14
Ben Sims,MIN,TE,8,2025,488.0,-0.93,-0.12,-1.46,-0.18
Taysom Hill,NO,TE,12,2025,489.0,-0.93,-0.08,-1.66,-0.14
Drew Lock,SEA,QB,5,2025,490.0,-0.93,-0.19,,
Marvin Mims Jr.,DEN,WR,15,2025,491.0,-0.93,-0.06,-1.43,-0.1
Tyler Goodson,IND,RB,10,2025,492.0,-0.94,-0.09,-1.79,-0.18
Andrei Iosivas,CIN,WR,16,2025,493.0,-0.94,-0.06,-1.43,-0.09
Simi Fehoko,ARI,WR,7,2025,494.0,-0.95,-0.14,-1.3,-0.19
Darnell Washington,PIT,TE,16,2025,495.0,-0.95,-0.06,-1.89,-0.12
Xavier Weaver,ARI,WR,8,2025,496.0,-0.96,-0.12,-1.31,-0.16
Ja'Tavion Sanders,CAR,TE,13,2025,497.0,-0.96,-0.07,-1.75,-0.13
Xavier Hutchinson,HOU,WR,16,2025,498.0,-0.96,-0.06,-1.48,-0.09
James Proche II,TEN,WR,8,2025,499.0,-0.97,-0.12,-1.33,-0.17
Christian Kirk,HOU,WR,12,2025,500.0,-0.98,-0.08,-1.4,-0.12
Jerome Ford,CLE,RB,13,2025,501.0,-0.98,-0.08,-1.95,-0.15
Davis Allen,LAR,TE,16,2025,502.0,-0.98,-0.06,-1.92,-0.12
Brashard Smith,KC,RB,16,2025,503.0,-0.99,-0.06,-2.1,-0.13
Dareke Young,SEA,WR,8,2025,504.0,-0.99,-0.12,-1.36,-0.17
Malik Washington,MIA,WR,16,2025,505.0,-1.0,-0.06,-1.45,-0.09
Kyle Juszczyk,SF,RB,16,2025,506.0,-1.0,-0.06,-2.11,-0.13
Dylan Drummond,ATL,WR,8,2025,507.0,-1.01,-0.13,-1.38,-0.17
Rashod Bateman,BAL,WR,13,2025,508.0,-1.02,-0.08,-1.47,-0.11
Daniel Bellinger,NYG,TE,15,2025,509.0,-1.02,-0.07,-1.95,-0.13
Jalin Hyatt,NYG,WR,8,2025,510.0,-1.02,-0.13,-1.4,-0.17
Jamari Thrash,CLE,WR,9,2025,511.0,-1.02,-0.11,-1.4,-0.16
Elijah Arroyo,SEA,TE,13,2025,512.0,-1.03,-0.08,-1.82,-0.14
Jackson Hawes,BUF,TE,16,2025,513.0,-1.03,-0.06,-1.98,-0.12
KeAndre Lambert-Smith,LAC,WR,9,2025,514.0,-1.03,-0.11,-1.43,-0.16
Pat Bryant,DEN,WR,14,2025,515.0,-1.04,-0.07,-1.49,-0.11
Tyler Johnson,NYJ,WR,12,2025,516.0,-1.05,-0.09,-1.52,-0.13
Jalen Tolbert,DAL,WR,12,2025,517.0,-1.06,-0.09,-1.51,-0.13
Jacob Saylors,DET,RB,11,2025,518.0,-1.07,-0.1,-2.02,-0.18
Olamide Zaccheaus,CHI,WR,15,2025,519.0,-1.07,-0.07,-1.54,-0.1
Nick Kallerup,SEA,TE,9,2025,520.0,-1.08,-0.12,-1.67,-0.19
Patrick Ricard,BAL,RB,11,2025,521.0,-1.08,-0.1,-2.04,-0.19
Robbie Ouzts,SEA,RB,11,2025,522.0,-1.08,-0.1,-2.05,-0.19
Max Brosmer,MIN,QB,6,2025,523.0,-1.09,-0.18,,
Laquon Treadwell,IND,WR,8,2025,524.0,-1.09,-0.14,-1.49,-0.19
Dominic Lovett,DET,WR,8,2025,524.0,-1.09,-0.14,-1.49,-0.19
Hassan Haskins,LAC,RB,12,2025,526.0,-1.09,-0.09,-2.08,-0.17
Rasheen Ali,BAL,RB,14,2025,527.0,-1.09,-0.08,-2.19,-0.16
Allen Lazard,FA,WR,10,2025,528.0,-1.09,-0.11,-1.51,-0.15
Tahj Brooks,CIN,RB,12,2025,529.0,-1.1,-0.09,-2.09,-0.17
Demarcus Robinson,SF,WR,13,2025,530.0,-1.12,-0.09,-1.56,-0.12
Ray Davis,BUF,RB,16,2025,531.0,-1.13,-0.07,-2.31,-0.14
Mason Kinsey,TEN,WR,9,2025,532.0,-1.13,-0.13,-1.55,-0.17
Cedrick Wilson Jr.,MIA,WR,9,2025,533.0,-1.14,-0.13,-1.56,-0.17
Eric Saubert,SEA,TE,10,2025,534.0,-1.15,-0.11,-1.81,-0.18
Devin Culp,TB,TE,11,2025,535.0,-1.15,-0.1,-1.86,-0.17
Tucker Fisk,LAC,TE,10,2025,536.0,-1.15,-0.12,-1.81,-0.18
British Brooks,HOU,RB,12,2025,537.0,-1.16,-0.1,-2.19,-0.18
Chris Moore,WAS,WR,13,2025,538.0,-1.17,-0.09,-1.66,-0.13
Beaux Collins,NYG,WR,9,2025,539.0,-1.18,-0.13,-1.61,-0.18
Ross Dwelley,CAR,TE,10,2025,540.0,-1.18,-0.12,-1.84,-0.18
Hunter Luepke,DAL,RB,16,2025,541.0,-1.18,-0.07,-2.37,-0.15
Foster Moreau,NO,TE,11,2025,542.0,-1.18,-0.11,-1.89,-0.17
Carter Runyon,LV,TE,10,2025,543.0,-1.19,-0.12,-1.85,-0.19
Ashton Dulin,IND,WR,11,2025,544.0,-1.19,-0.11,-1.64,-0.15
DeAndre Hopkins,BAL,WR,16,2025,545.0,-1.2,-0.07,-1.74,-0.11
Tim Patrick,JAC,WR,15,2025,546.0,-1.2,-0.08,-1.77,-0.12
John Metchie III,NYJ,WR,15,2025,547.0,-1.21,-0.08,-1.76,-0.12
Kalif Raymond,DET,WR,14,2025,548.0,-1.22,-0.09,-1.74,-0.12
Mitchell Evans,CAR,TE,16,2025,549.0,-1.23,-0.08,-2.2,-0.14
Colson Yankoff,WAS,RB,13,2025,550.0,-1.25,-0.1,-2.37,-0.18
Tommy Tremble,CAR,TE,16,2025,551.0,-1.25,-0.08,-2.24,-0.14
Dyami Brown,JAC,WR,14,2025,552.0,-1.25,-0.09,-1.8,-0.13
Will Shipley,PHI,RB,14,2025,553.0,-1.26,-0.09,-2.41,-0.17
Tyler Badie,DEN,RB,15,2025,554.0,-1.26,-0.08,-2.43,-0.16
Julian Hill,MIA,TE,13,2025,555.0,-1.26,-0.1,-2.07,-0.16
Jaylin Noel,HOU,WR,16,2025,556.0,-1.26,-0.08,-1.83,-0.11
Kyle Williams,NE,WR,16,2025,557.0,-1.27,-0.08,-1.89,-0.12
Roman Wilson,PIT,WR,14,2025,558.0,-1.27,-0.09,-1.85,-0.13
Charlie Kolar,BAL,TE,16,2025,559.0,-1.28,-0.08,-2.26,-0.14
Harrison Bryant,HOU,TE,11,2025,560.0,-1.3,-0.12,-2.03,-0.18
Josiah Deguara,ARI,TE,11,2025,561.0,-1.3,-0.12,-2.03,-0.18
Elijah Higgins,ARI,TE,16,2025,562.0,-1.3,-0.08,-2.29,-0.14
Ben Yurosek,MIN,TE,11,2025,563.0,-1.3,-0.12,-2.03,-0.18
Feleipe Franks,ATL,TE,11,2025,564.0,-1.31,-0.12,-2.04,-0.19
Malachi Corley,CLE,WR,12,2025,565.0,-1.31,-0.11,-1.79,-0.15
Savion Williams,GB,WR,12,2025,566.0,-1.31,-0.11,-1.81,-0.15
Adam Trautman,DEN,TE,16,2025,567.0,-1.31,-0.08,-2.29,-0.14
Isaiah Bond,CLE,WR,15,2025,568.0,-1.32,-0.09,-1.84,-0.12
Jimmy Horn Jr.,CAR,WR,12,2025,569.0,-1.32,-0.11,-1.81,-0.15
Jake Bobo,SEA,WR,10,2025,570.0,-1.32,-0.13,-1.81,-0.18
Quintin Morris,JAC,TE,12,2025,571.0,-1.32,-0.11,-2.1,-0.18
Malik Heath,ATL,WR,11,2025,572.0,-1.33,-0.12,-1.82,-0.17
Van Jefferson,TEN,WR,16,2025,573.0,-1.33,-0.08,-1.87,-0.12
Luke Musgrave,GB,TE,16,2025,574.0,-1.33,-0.08,-2.31,-0.14
LeQuint Allen Jr.,JAC,RB,16,2025,575.0,-1.34,-0.08,-2.6,-0.16
Dare Ogunbowale,HOU,RB,16,2025,576.0,-1.34,-0.08,-2.62,-0.16
Scott Matlock,LAC,RB,15,2025,577.0,-1.34,-0.09,-2.59,-0.17
JuJu Smith-Schuster,KC,WR,16,2025,578.0,-1.35,-0.08,-1.91,-0.12
Connor Heyward,PIT,TE,15,2025,579.0,-1.36,-0.09,-2.3,-0.15
Chris Brooks,GB,RB,16,2025,580.0,-1.36,-0.08,-2.62,-0.16
Jeremy Ruckert,NYJ,TE,16,2025,581.0,-1.36,-0.09,-2.34,-0.15
Derius Davis,LAC,WR,10,2025,582.0,-1.38,-0.14,-1.89,-0.19
Ke'Shawn Williams,CIN,WR,10,2025,583.0,-1.38,-0.14,-1.89,-0.19
Andrew Beck,NYJ,RB,16,2025,584.0,-1.39,-0.09,-2.69,-0.17
Ben Sinnott,WAS,TE,15,2025,585.0,-1.39,-0.09,-2.33,-0.16
Xavier Smith,LAR,WR,15,2025,586.0,-1.41,-0.09,-1.98,-0.13
Ian Thomas,LV,TE,14,2025,587.0,-1.42,-0.1,-2.31,-0.16
Adam Prentice,DEN,RB,16,2025,588.0,-1.42,-0.09,-2.73,-0.17
Trevor Etienne,CAR,RB,16,2025,589.0,-1.43,-0.09,-2.74,-0.17
KhaDarel Hodge,ATL,WR,11,2025,590.0,-1.43,-0.13,-1.96,-0.18
Tre Harris,LAC,WR,16,2025,591.0,-1.44,-0.09,-2.0,-0.12
Luke Farrell,SF,TE,16,2025,592.0,-1.46,-0.09,-2.47,-0.15
Noah Gray,KC,TE,15,2025,593.0,-1.46,-0.1,-2.41,-0.16
Brandin Cooks,BUF,WR,15,2025,594.0,-1.46,-0.1,-2.04,-0.14
Tyler Lockett,LV,WR,16,2025,595.0,-1.47,-0.09,-2.04,-0.13
John Bates,WAS,TE,14,2025,596.0,-1.47,-0.11,-2.37,-0.17
Brady Russell,SEA,RB,15,2025,597.0,-1.48,-0.1,-2.79,-0.19
John FitzPatrick,GB,TE,15,2025,598.0,-1.48,-0.1,-2.44,-0.16
Anthony Gould,IND,WR,11,2025,599.0,-1.48,-0.13,-2.03,-0.18
Alec Ingold,MIA,RB,16,2025,600.0,-1.48,-0.09,-2.83,-0.18
David Martin-Robinson,TEN,TE,14,2025,601.0,-1.49,-0.11,-2.4,-0.17
Tyrell Shavers,BUF,WR,16,2025,602.0,-1.49,-0.09,-2.14,-0.13
Julius Chestnut,TEN,RB,16,2025,603.0,-1.51,-0.09,-2.87,-0.18
Darius Cooper,PHI,WR,12,2025,604.0,-1.52,-0.13,-2.08,-0.17
Isaiah Williams,NYJ,WR,14,2025,605.0,-1.52,-0.11,-2.11,-0.15
Jamal Agnew,FA,WR,11,2025,606.0,-1.52,-0.14,-2.09,-0.19
David Sills V,ATL,WR,16,2025,607.0,-1.53,-0.1,-2.15,-0.13
Gage Larvadain,CLE,WR,12,2025,608.0,-1.53,-0.13,-2.09,-0.17
